loan_id,customer_id,branch_id,loan_type,loan_start_date,loan_amount,interest_rate_pct,term_months,emi_amount,outstanding_balance,loan_status,default_status,days_past_due
L00044,C00435,B006,Business,2025-06-19,516075.76,15.92,36,21182.04,427205.32,Defaulted,Yes,90
L00045,C00521,B007,Personal,2024-05-29,108131.62,16.13,60,3255.66,34867.59,Active,No,16
L00046,C00349,B012,Education,2025-07-09,245369.67,15.23,12,23561.62,0,Closed,No,11
L00047,C00417,B018,Home,2025-05-04,133249.52,15.01,12,12770.86,31578.53,Active,No,17
L00048,C00956,B001,Personal,2024-07-30,1372500.43,17.31,24,76985.84,468524.18,Active,No,4
L00049,C00566,B020,Auto,2024-06-27,91336.74,12.22,24,4735.81,26824.89,Active,No,13
L00050,C00705,B006,Home,2023-03-30,940556.01,13.34,24,49645.68,869466.38,Active,No,10
L00051,C00549,B012,Auto,2024-07-18,1617736.53,16.56,36,67261.89,787496.54,Active,No,4
L00052,C00889,B013,Personal,2026-03-11,106978.09,14.02,48,3478.57,78010.41,Defaulted,Yes,44
L00053,C00657,B022,Education,2025-11-04,80308.15,15.51,84,1994.03,39432.33,Active,No,0
L00054,C00704,B003,Personal,2022-12-31,738708.11,17.7,12,72454.95,612768.49,Active,No,14
L00055,C00564,B008,Business,2023-01-20,337223.15,15.97,36,13855.19,0,Closed,No,7
L00056,C00431,B002,Business,2023-08-01,105185.75,13.61,60,2946.08,89060.59,Active,No,13
L00057,C00773,B001,Auto,2025-04-06,741924.11,14.22,48,24248.55,622139.67,Defaulted,Yes,120
L00058,C00065,B005,Auto,2024-03-21,1781761.71,12.37,24,92607.06,0,Closed,No,10
L00059,C00036,B001,Personal,2026-01-16,821764.67,14.45,24,44135.61,0,Closed,No,2
L00060,C00775,B012,Auto,2026-05-15,813028.46,17.41,12,79548.06,516625.42,Defaulted,Yes,54
L00061,C00537,B023,Education,2023-04-05,478270.14,18.1,24,27141.83,162847.55,Defaulted,Yes,70
L00062,C00352,B018,Education,2023-02-01,1625200.97,13.38,36,63265.46,247548.21,Active,No,17
L00063,C00690,B020,Education,2023-04-23,423903.6,16.84,36,17723.88,280552.12,Active,No,4
L00064,C00620,B024,Education,2023-07-07,167177.38,13.43,84,3861.2,134599.87,Defaulted,Yes,73
L00065,C00486,B013,Business,2023-03-11,204143.95,15.11,24,11076.51,103963.3,Active,No,17
L00066,C00206,B017,Education,2025-05-24,714204.67,15.58,48,24152.02,452409.5,Active,No,15
L00067,C00356,B007,Personal,2022-03-04,356144.69,14.55,24,19157.62,0,Closed,No,11
L00068,C00513,B014,Business,2025-05-27,867743.99,17.02,48,30385.5,628228.91,Defaulted,Yes,39
L00069,C00388,B019,Education,2023-08-12,1553314.81,18.59,48,56424.16,981270.18,Defaulted,Yes,62
L00070,C00491,B008,Auto,2025-07-13,408632.07,15.9,84,10279.04,331984.03,Active,No,10
L00071,C00883,B011,Education,2025-09-21,351767.49,11.98,12,32825.77,296189.44,Active,No,0
L00072,C00850,B012,Auto,2025-01-06,478391.52,17.81,48,17066.62,0,Closed,No,5
L00073,C00838,B004,Personal,2024-04-21,1266395.67,14.83,24,68417.03,0,Closed,No,12
L00074,C00851,B014,Personal,2026-02-23,127276.86,14.76,12,12171.91,80832.41,Defaulted,Yes,58
L00075,C00606,B007,Auto,2025-04-22,1135374.92,18.44,12,112061.5,910190.75,Active,No,2
L00076,C00301,B011,Education,2024-10-20,1229375.18,17.44,24,69090.89,0,Closed,No,0
L00077,C00929,B009,Business,2025-11-14,878720.01,15.63,84,21906.28,730137.01,Active,No,1
L00078,C00218,B018,Education,2025-11-29,136651.81,13.34,24,7212.94,31996.33,Active,No,10
L00079,C00714,B008,Auto,2024-04-01,1058991.82,15.54,60,31363.81,539745.38,Active,No,20
L00080,C00200,B023,Personal,2025-02-26,888526.52,13.44,84,20529.19,239402.02,Active,No,11
L00081,C00876,B003,Business,2026-02-02,178256.06,12.16,24,9233.66,0,Closed,No,14
L00082,C00421,B021,Auto,2022-12-24,546121.4,12.95,60,14995.58,298614.42,Defaulted,Yes,43
L00083,C00281,B016,Education,2024-12-11,986790.24,13.52,84,22865.34,434666.2,Active,No,3
L00084,C00279,B008,Auto,2024-10-14,1704574.16,12.24,84,37679.21,936324.08,Active,No,19
L00085,C00905,B022,Auto,2025-09-27,284857.91,16.5,60,8664.43,91988.63,Active,No,7
L00086,C00509,B005,Personal,2026-03-20,715988.58,16.79,48,24934.3,190221.17,Defaulted,Yes,34
L00087,C00053,B002,Education,2023-06-05,156698.04,15.36,48,5270.28,42145.99,Active,No,15
L00088,C00173,B009,Home,2025-03-24,154639.84,15.16,60,4530.95,107102.79,Active,No,6
L00089,C00392,B017,Personal,2023-03-20,134718.94,12.77,60,3678.95,77368.48,Active,No,16
L00090,C00935,B023,Education,2022-12-31,1424346.63,13.58,36,55684.04,368337.69,Active,No,8
L00091,C99997,B016,Personal,2022-09-11,2364883.6,11.46,60,61999.37,1117607.97,Active,No,18
L00092,C00502,B020,Business,2023-04-18,274845.94,12.06,48,8488.16,71447.83,Active,No,7
L00093,C00406,B011,Personal,2023-11-19,146429.77,15.21,48,4906.62,0,Closed,No,20
L00094,C00860,B005,Personal,2024-02-04,537132.02,15.01,48,17908.88,378236.86,Active,No,15
L00095,C00505,B005,Home,2023-09-08,1668584.82,15.46,48,56259.12,417865.87,Defaulted,Yes,68
L00096,C00674,B016,Business,2023-05-23,276217.13,12.96,36,10655.84,56615.6,Active,No,10
L00097,C00957,B019,Home,2024-07-29,1411031.04,18.25,24,80252.39,518326.91,Defaulted,Yes,34
L00098,C00822,B015,Auto,2024-07-12,285664.21,15.78,36,11691.6,244428.11,Active,No,8
L00099,C00784,B005,Education,2024-02-13,263936.07,15.78,60,7869.69,0,Closed,No,17
L00100,C00896,B003,Business,2023-04-12,697353.93,15.92,36,28622.5,253012.54,Active,No,3
L00101,C00360,B021,Education,2022-10-26,111433.98,15.55,36,4539.39,0,Closed,No,15
L00102,C00609,B017,Personal,2022-11-04,524446.76,15.57,60,15545.48,123477.52,Active,No,16
L00103,C00404,B019,Business,2024-05-01,150295.8,17.68,60,4719.29,0,Closed,No,20
L00104,C00966,B010,Home,2025-04-15,132847.67,10.87,84,2784.9,42260.14,Active,No,9
L00105,C00893,B008,Education,2023-10-28,2310191.16,15.08,12,221547.33,695186.72,Defaulted,Yes,88
L00106,C00818,B006,Home,2023-08-10,718686.48,18.5,48,26052.38,586258.3,Active,No,10
L00107,C00271,B010,Personal,2022-12-31,685149.7,14.79,12,65540.28,491416.1,Active,No,12
L00108,C00754,B005,Education,2022-01-09,171526.88,15.12,36,6925.87,128747.97,Active,No,7
L00109,C00343,B024,Auto,2025-07-02,445814.78,12.98,12,41973.46,235313.32,Active,No,1
L00110,C00531,B007,Business,2025-03-14,96684.82,14.74,24,5216.15,18483.92,Active,No,18
L00111,C00456,B013,Auto,2022-06-02,632506.73,16.37,24,34982.89,0,Closed,No,2
L00112,C00672,B013,Personal,2025-07-20,160036.41,12.66,36,6133.84,32631.43,Active,No,16
L00113,C00760,B014,Personal,2025-09-22,116217.84,16.11,36,4788.5,42518.3,Active,No,6
L00114,C00397,B003,Personal,2026-02-05,320893.37,12.83,36,12344.59,299848.9,Active,No,19
L00115,C00395,B019,Personal,2025-02-04,139724.35,12.24,36,5306.42,0,Closed,No,3
L00116,C00974,B017,Auto,2022-05-02,818108.14,16.52,60,24897.76,648264.89,Defaulted,Yes,105
L00117,C00266,B018,Personal,2025-08-10,173614.72,15.14,12,16658.33,105270.09,Active,No,19
L00118,C00839,B022,Personal,2022-01-15,500755.43,15.37,36,20323.72,280715.24,Defaulted,Yes,76
L00119,C00598,B016,Auto,2022-09-05,1160512.2,12.87,60,31788.36,472511.76,Active,No,0
L00120,C00649,B005,Education,2022-08-10,169730.92,18.71,12,16790.63,46118.85,Active,No,19
L00121,C00272,B020,Business,2025-06-20,2117281.7,14.53,48,69746.79,0,Closed,No,12
L00122,C00454,B023,Business,2025-11-16,945594.85,12.97,12,89019.88,283011.07,Defaulted,Yes,106
L00123,C00763,B001,Business,2023-11-01,134837.58,14.83,84,3271.58,53899.56,Active,No,8
L00124,C00081,B024,Personal,2022-11-03,179768.64,16.95,24,10029.59,155310.09,Active,No,3
L00125,C00358,B008,Personal,2023-03-22,247396.36,17.34,24,13883.06,0,Closed,No,5
L00126,C00363,B025,Home,2022-01-26,274778.37,15.05,84,6717.35,200924.02,Defaulted,Yes,62
L00127,C00863,B010,Home,2025-07-13,869662.15,14.48,12,82965.77,137425.86,Active,No,4
L00128,C00644,B001,Home,2022-11-22,674069.11,17.03,36,28290.31,532429.15,Active,No,14
L00129,C00829,B014,Home,2025-06-21,1430919.09,15.11,24,77639.28,0,Closed,No,18
L00130,C00756,B012,Education,2025-12-21,1994794.63,16.64,48,69219.37,381897.83,Active,No,17
L00131,C00245,B013,Auto,2024-07-08,1492076.91,16.6,12,144980.14,572495.01,Defaulted,Yes,118
L00132,C00282,B005,Auto,2022-03-15,80818.57,14.4,84,1931.95,56600.32,Active,No,19
L00133,C00879,B025,Auto,2022-10-09,1779917.46,12.66,48,55859.74,760174.57,Active,No,2
L00134,C00259,B014,Home,2025-04-28,1097976.56,17.47,60,34284.32,1041399.28,Active,No,13
L00135,C00328,B013,Business,2023-03-26,309711.61,15.88,24,17003.17,0,Closed,No,5
L00136,C00664,B012,Home,2023-01-28,2061246.55,12.2,84,45494.66,1214949.26,Active,No,13
L00137,C00037,B008,Auto,2022-03-23,1617073.39,17.43,84,42738.86,1376328.27,Defaulted,Yes,75
L00138,C00735,B007,Business,2025-06-11,1663963.78,15.12,60,48698.67,343810.22,Active,No,2
L00139,C00654,B006,Home,2022-06-15,1072676.86,14.95,84,26133.73,767701.01,Active,No,1
L00140,C00133,B005,Education,2022-01-07,602050.96,13.83,84,14105.91,438637.11,Active,No,17
L00141,C00260,B015,Education,2025-06-07,513268.48,18.9,60,16638.45,219269.57,Defaulted,Yes,78
L00142,C00025,B014,Personal,2026-04-24,1932918.89,17.55,24,108807.23,1734777.59,Defaulted,Yes,71
L00143,C00794,B016,Auto,2025-02-05,621887.79,13.09,36,24058.42,465546.48,Active,No,5
L00144,C00374,B005,Personal,2023-01-22,774809.7,12.41,24,40296.56,0,Closed,No,2
L00145,C00248,B018,Auto,2025-09-12,688243.58,12.92,24,36086.91,514893.65,Defaulted,Yes,42
L00146,C00868,B022,Home,2022-08-08,103866.01,18.12,36,4453.54,34639.6,Active,No,11
L00147,C00508,B002,Personal,2023-05-31,117711.26,15.78,12,11357.17,100798.77,Active,No,4
L00148,C00174,B007,Business,2024-09-24,178980.63,12.6,84,4010.02,151184.96,Active,No,1
L00149,C00615,B004,Business,2023-03-20,346022.36,12.38,24,17987.4,0,Closed,No,2
L00150,C00663,B014,Business,2025-06-28,1237876.94,15.55,60,36672.1,1121054.99,Active,No,9
L00151,C00006,B025,Personal,2022-10-12,1645034.15,16.9,36,68862.96,458940.06,Defaulted,Yes,70
L00152,C00573,B007,Personal,2022-05-25,897667.32,12.42,24,46693.66,306000.81,Active,No,3
L00153,C00743,B008,Personal,2023-05-09,119852.46,16.89,24,6680.78,0,Closed,No,10
L00154,C00280,B017,Personal,2024-12-26,534666.42,12.35,24,27780.38,184333.4,Active,No,13
L00155,C00696,B006,Personal,2025-10-19,509428.33,11.47,12,47321.65,104013.97,Active,No,4
L00156,C00766,B010,Education,2022-06-28,415160.55,13.28,60,11513.79,234248.81,Defaulted,Yes,84
L00157,C00940,B023,Home,2024-07-01,145476.71,14.38,60,4167.91,54588.55,Active,No,19
L00158,C00626,B019,Home,2025-09-23,1717127.4,15.69,24,93998.42,515423.83,Active,No,9
L00159,C00408,B025,Home,2023-09-18,1353487.69,14.82,36,54312.45,648438.05,Defaulted,Yes,38
L00160,C00323,B017,Personal,2022-01-04,112191.58,14.78,48,3719.15,43063.25,Defaulted,Yes,55
L00161,C00233,B019,Business,2024-07-21,134064.77,16.12,84,3396.95,97411.64,Active,No,4
L00162,C00658,B020,Education,2024-05-16,214321.22,15.49,36,8719.9,46736.84,Defaulted,Yes,78
L00163,C00639,B013,Business,2026-04-03,162646.37,13.45,60,4533.77,0,Closed,No,15
L00164,C00265,B002,Education,2024-05-17,2324978.44,18.12,48,83544.23,1957200.72,Active,No,6
L00165,C00341,B017,Business,2023-03-13,1984306.39,16.59,24,110112.47,0,Closed,No,18
L00166,C00028,B013,Auto,2022-03-27,313766.89,15.1,24,17021.85,56813.11,Active,No,11
L00167,C00243,B007,Education,2024-10-23,155215.72,15.28,84,3824.22,103398.56,Active,No,14
L00168,C00452,B023,Education,2022-03-04,273665.92,15.34,84,6756.29,0,Closed,No,12
L00169,C00825,B010,Personal,2025-07-21,545582.87,15.17,84,13392.11,433130.74,Active,No,16
L00170,C00920,B006,Business,2026-04-21,785944.93,14.07,12,74710.62,533923.75,Active,No,4
L00171,C00287,B009,Home,2025-05-15,94467.88,14.64,36,3776.62,0,Closed,No,5
L00172,C00568,B015,Education,2022-03-05,1248690.11,15.87,36,51199.76,500987.88,Defaulted,Yes,83
L00173,C00034,B008,Personal,2024-08-16,1205059.9,18.98,84,33405.98,622906.49,Active,No,8
L00174,C00792,B003,Auto,2025-10-29,164413.59,15.16,36,6644.14,113283.55,Active,No,8
L00175,C00494,B025,Business,2026-04-04,587393.99,17.05,48,20583.26,0,Closed,No,13
L00176,C00538,B025,Business,2025-01-06,1480790.46,17.38,60,46126.62,985429.88,Active,No,4
L00177,C00981,B014,Home,2024-07-21,165737.16,14.32,12,15789.23,147581.22,Active,No,0
L00178,C00384,B024,Home,2026-05-22,498897.99,17.88,12,49008.41,349461.13,Active,No,11
L00179,C00236,B012,Personal,2022-07-14,1522448.92,12.7,36,58402.83,900622.04,Active,No,13
L00180,C00545,B020,Education,2022-11-02,1249091.23,12.78,36,47999.8,479495.66,Defaulted,Yes,93
L00181,C00222,B001,Personal,2024-08-20,107828.17,14.99,48,3593.37,17526.1,Defaulted,Yes,45
L00182,C00204,B021,Home,2023-05-12,1970548.72,16.06,24,108478.71,1387957.01,Active,No,9
L00183,C00747,B014,Auto,2022-10-03,334299.63,13.24,24,17617.59,0,Closed,No,13
L00184,C00547,B002,Auto,2025-09-08,2053035.75,15.54,48,69358.39,0,Closed,No,1
L00185,C00381,B024,Personal,2024-11-17,316690.47,10.02,24,15839.8,205678.46,Active,No,16
L00186,C00413,B022,Education,2023-08-04,180889.74,15.47,24,9869.04,150872.63,Defaulted,Yes,45
L00187,C00595,B024,Business,2022-07-10,175745.48,16.67,12,17086.85,60816.51,Active,No,7
L00188,C00194,B020,Auto,2024-02-16,168844.29,13.22,84,3870.15,131650.13,Defaulted,Yes,51
L00189,C00192,B006,Personal,2022-04-27,1420322.24,11.62,48,43343.5,1239689.55,Active,No,14
L00190,C00739,B020,Education,2024-02-20,439562.09,11.95,36,16587.36,0,Closed,No,10
L00191,C00622,B011,Home,2025-10-07,285593.1,15.95,84,7195.93,59526.63,Defaulted,Yes,73
L00192,C00124,B006,Home,2022-02-25,421844.15,13.42,60,11748.36,67184.69,Defaulted,Yes,43
L00193,C00254,B011,Personal,2022-04-19,328440.64,15.97,24,18056.02,95651.43,Active,No,9
L00194,C00954,B015,Home,2025-09-01,432790.04,14.92,48,14397.48,347548.46,Active,No,17
L00195,C00616,B012,Personal,2022-09-03,533954.95,16.2,48,18332.45,491589.11,Active,No,10
L00196,C00389,B016,Business,2022-06-24,454026.94,12.1,84,9983.19,182367.57,Active,No,14
L00197,C00311,B013,Business,2022-09-18,760594.54,11.69,60,20086.03,0,Closed,No,3
L00198,C00759,B007,Personal,2023-09-29,570302.88,18.27,84,15472.18,172917.6,Defaulted,Yes,54
L00199,C00832,B015,Personal,2024-11-12,766548.14,15.5,36,31194.25,0,Closed,No,20
L00200,C00044,B004,Auto,2022-03-03,862768.54,16.76,60,26429.48,685635.27,Defaulted,Yes,70
L00201,C00922,B006,Business,2022-06-30,114914.34,13.35,60,3193.66,0,Closed,No,14
L00202,C00284,B024,Auto,2022-09-27,283285.46,17.29,36,11950.71,201981.21,Defaulted,Yes,90
L00203,C00030,B005,Education,2025-03-04,1493194.18,15.26,36,60466.07,0,Closed,No,7
L00204,C00487,B007,Education,2022-04-10,92244.77,13.15,12,8697.91,55774.88,Defaulted,Yes,95
L00205,C00227,B012,Education,2026-02-28,191213.97,17.31,24,10725.51,151414.97,Active,No,15
L00206,C00470,B009,Auto,2023-12-22,1556215.66,16.11,60,46829.12,259200.42,Active,No,3
L00207,C00215,B014,Education,2022-02-19,169702.67,15.81,36,6949.8,74392.42,Defaulted,Yes,75
L00208,C00057,B003,Business,2022-05-04,312366.27,14.56,48,10297.67,0,Closed,No,7
L00209,C00869,B007,Education,2022-03-05,227392.58,16.08,48,7784.41,207327.3,Active,No,11
L00210,C00090,B009,Education,2025-11-05,162399.69,18.01,12,15970.66,41469.9,Active,No,1
L00211,C00361,B003,Home,2023-09-01,329942.33,19.19,60,10775.37,0,Closed,No,16
L00212,C00002,B017,Business,2024-07-30,1806925.33,12.4,24,93960.12,1262215.49,Active,No,7
L00213,C00740,B019,Business,2023-06-26,836322.15,18.53,60,26852.91,350334.2,Active,No,9
L00214,C00396,B007,Business,2026-02-10,813376.33,12.61,48,25492.57,413927.45,Active,No,6
L00215,C00224,B024,Home,2026-01-30,149580.69,20.7,84,4360.99,85749.66,Active,No,4
L00216,C00181,B023,Home,2022-11-27,234542.01,17.06,12,22879.57,109134.89,Active,No,4
L00217,C00724,B024,Personal,2025-12-26,1432477.74,15.91,36,58783.32,1336208.4,Active,No,8
L00218,C00264,B010,Business,2022-12-01,934542.57,14.9,12,89482.45,0,Closed,No,2
L00219,C00031,B013,Home,2025-12-19,177889.43,12.33,24,9239.87,0,Closed,No,5
L00220,C00322,B020,Auto,2025-07-27,99073.12,12.95,84,2248.61,77724.18,Active,No,16
L00221,C00106,B023,Education,2024-10-01,195388.27,-3.5,48,6622.03,61551.69,Active,No,6
L00222,C00047,B020,Education,2025-08-01,809763.57,13.1,24,42580.07,584941.83,Active,No,16
L00223,C00962,B015,Personal,2023-01-19,312949.35,15.73,60,9318.07,76908.85,Active,No,0
L00224,C00145,B019,Auto,2022-05-19,190348.43,16.22,24,10504.06,124188.19,Defaulted,Yes,62
L00225,C00418,B022,Auto,2024-02-23,1908292.93,17.83,84,51071.83,1044551.23,Defaulted,Yes,76
L00226,C00370,B018,Home,2023-12-31,742920.8,13.61,12,70336.03,448899.36,Defaulted,Yes,54
L00227,C00529,B006,Auto,2025-03-09,153366.83,14.22,84,3643.19,99405.85,Defaulted,Yes,59
L00228,C00903,B011,Home,2022-08-04,1469575.29,12.79,24,76895.53,1265702.03,Active,No,8
L00229,C00546,B011,Home,2026-04-21,164524.61,12.9,12,15479.02,112843.04,Active,No,11
L00230,C00463,B011,Personal,2022-02-07,101019.42,15.04,84,2468.72,27335.32,Active,No,0
L00231,C00647,B008,Personal,2026-03-23,2124167.12,17.13,24,118829.45,908582.06,Active,No,7
L00232,C00596,B008,Home,2023-04-26,771070.43,15.92,24,42357.47,317898.47,Defaulted,Yes,109
L00233,C00443,B022,Auto,2024-07-31,2177264.96,20.34,12,218343.39,0,Closed,No,0
L00234,C00968,B013,Business,2024-12-12,260081.99,13.92,60,7351.65,129302.11,Defaulted,Yes,30
L00235,C00207,B023,Auto,2022-12-13,587791.8,13.12,12,55409.17,192106.85,Defaulted,Yes,33
L00236,C00299,B014,Auto,2024-10-07,97748.07,14.18,48,3191.47,40040.89,Active,No,17
L00237,C00405,B014,Personal,2025-03-23,884847.9,10.54,36,32351.02,342737.69,Active,No,14
L00238,C00982,B016,Education,2023-08-20,232100.55,15.42,60,6850.83,67862.75,Defaulted,Yes,84
L00239,C00288,B013,Home,2026-04-21,631315.2,15.66,36,25775.2,495319.76,Defaulted,Yes,58
L00240,C00996,B001,Auto,2025-10-28,1816312.18,16.46,12,176273.1,426536.26,Active,No,12
L00241,C00438,B016,Business,2023-02-17,532479.81,18.74,60,17190.22,261232.4,Active,No,12
L00242,C00273,B023,Business,2025-10-22,1353845.8,15.23,60,39746.66,0,Closed,No,13
L00243,C00709,B011,Business,2024-01-08,2188620.67,16.89,84,56859.84,1414889.34,Active,No,2
L00244,C00984,B023,Home,2024-07-26,95811.67,14.53,48,3156.2,87159.3,Active,No,16
L00245,C00768,B025,Business,2025-01-06,1574888.55,14.66,48,52050.07,808880.48,Active,No,1
L00246,C00039,B007,Education,2022-08-13,178020.92,12.16,24,9221.48,122946.75,Active,No,19
L00247,C00808,B014,Education,2023-05-21,2398673.89,14.65,36,95913.64,1204893.94,Active,No,9
L00248,C00786,B009,Personal,2023-12-07,99298.91,15.17,48,3324.03,44547.07,Active,No,18
L00249,C00140,B017,Personal,2022-10-13,238860.02,16.87,60,7338.97,163519.81,Active,No,5
L00250,C00498,B003,Home,2022-08-30,1771697.51,17.79,48,63175.78,1669257.79,Active,No,2
L00251,C00202,B015,Auto,2026-05-18,228210.8,11.11,60,5916.36,0,Closed,No,18
L00252,C00585,B011,Auto,2022-10-18,836301.5,15.5,24,45648.12,644348.98,Defaulted,Yes,78
L00253,C00635,B005,Auto,2022-01-02,80276.29,15.77,84,2010.63,0,Closed,No,6
L00254,C00936,B024,Home,2022-03-05,1061345.38,16.36,24,58692.4,221332.79,Active,No,7
L00255,C00894,B009,Auto,2024-11-21,935351.12,17.54,60,29260.9,0,Closed,No,8
L00256,C00115,B008,Education,2026-02-17,1719445.72,18.93,12,170411.4,318409.17,Active,No,15
L00257,C00977,B018,Home,2023-05-06,587728.27,13.37,36,22874.06,554987.48,Active,No,8
L00258,C00899,B014,Home,2023-08-05,163774.31,14.51,36,6529.59,35368.46,Active,No,20
L00259,C00151,B018,Home,2024-06-13,895344.63,15.71,48,30374.57,773244.77,Active,No,15
L00260,C00055,B008,Business,2024-02-07,566489.82,13.77,36,22236.3,322229.84,Active,No,9
L00261,C00726,B020,Education,2022-12-15,2179546.52,15.9,36,89421.95,1421530.45,Active,No,8
L00262,C00590,B022,Home,2024-08-20,163547.58,18.84,60,5293.49,0,Closed,No,8
L00263,C00291,B021,Home,2026-01-01,166572.62,13.06,24,8753.39,0,Closed,No,16
L00264,C00072,B015,Education,2022-01-30,169813.84,14.79,12,16244.11,54221.12,Active,No,4
L00265,C00741,B014,Auto,2023-06-14,91578.73,19.24,60,2994.62,18943.7,Active,No,8
L00266,C00091,B018,Education,2024-02-17,164045.29,17.82,84,4388.99,66031.61,Defaulted,Yes,100
L00267,C00022,B022,Auto,2025-11-05,309207.63,17.75,48,11015.52,0,Closed,No,12
L00268,C00184,B019,Education,2026-03-20,1752375.09,15.21,48,58719.17,1271630.87,Active,No,12
L00269,C00873,B001,Business,2022-04-06,1144531.09,14.67,48,37836.29,629614.74,Active,No,10
L00270,C00983,B007,Personal,2023-01-14,206889.24,14.43,36,8234.77,78620.91,Active,No,19
L00271,C00447,B002,Business,2025-02-17,2015526.01,13.56,60,56367.54,1056973.55,Active,No,9
L00272,C00046,B015,Business,2025-11-07,428348.64,14.24,12,40778.79,206174.17,Active,No,19
L00273,C00495,B023,Business,2023-04-21,207592.94,15.91,84,5223.68,0,Closed,No,8
L00274,C00817,B021,Education,2023-09-18,82468.14,18.8,24,4728.17,25708.24,Active,No,1
