account_id,customer_id,account_type,branch_id,open_date,current_balance,currency,account_status,last_activity_date,account_tier,monthly_service_cost
A000035,C00025,Current,B014,2021-07-08,203146.2,INR,Active,2026-02-27,Silver,52.98
A000036,C00026,Savings,B024,2025-10-01,241062.55,USD,Active,2025-10-21,Gold,159.29
A000037,C00027,Current,B017,2021-05-15,74522.01,INR,Dormant,2024-11-06,Classic,34.86
A000038,C00027,Savings,B017,2025-06-26,87922.64,INR,Active,2026-07-01,Platinum,138.5
A000039,C00027,Savings,B017,2022-07-21,61548.23,INR,Dormant,2025-03-01,Platinum,22.58
A000040,C00028,Savings,B013,2021-05-17,59972.96,INR,Dormant,2024-12-29,Gold,56.7
A000041,C00029,Current,B017,2023-05-16,247186.07,INR,Active,2026-06-15,Gold,27.26
A000042,C00029,Salary,B017,2020-12-27,12255.27,INR,Dormant,2023-11-24,Classic,115.39
A000043,C00030,Current,B005,2022-04-15,220856.17,INR,Dormant,2025-01-15,Silver,138.71
A000044,C00031,Savings,B013,2023-07-18,84487.85,INR,Active,2026-03-16,Gold,119.51
A000045,C00031,Savings,B013,2023-07-18,50261.76,INR,Dormant,2024-11-10,Silver,36.02
A000046,C00032,Savings,B004,2023-09-16,6923.93,INR,Dormant,2024-03-08,Platinum,41.5
A000047,C00033,Current,B014,2023-08-30,129736.17,INR,Dormant,2025-05-02,Classic,96.45
A000048,C00034,Salary,B008,2025-01-11,50889.98,INR,Dormant,2025-05-19,Platinum,65.17
A000049,C00034,Current,B008,2025-01-11,149499.45,INR,Dormant,2025-08-30,Platinum,126.94
A000050,C00035,Savings,B003,2021-12-28,53014.08,INR,Active,2026-02-17,Classic,139.67
A000051,C00036,Current,B001,2025-10-19,180826.41,INR,Active,2026-01-20,Classic,111.53
A000052,C00036,Savings,B001,2025-10-19,284063.33,INR,Active,2026-01-23,Platinum,178.83
A000053,C00037,Savings,B008,2024-10-06,147225.44,INR,Dormant,2025-02-03,Silver,60.85
A000054,C00038,Savings,B020,2025-02-26,131754.62,INR,Active,2026-06-08,Classic,145.11
A000055,C00038,Savings,B020,2019-06-07,35868.33,INR,Dormant,2025-07-10,Gold,40.21
A000056,C00039,Savings,B007,2025-03-16,86872.98,INR,Dormant,2025-06-08,Classic,51.79
A000057,C00040,Savings,B012,2020-09-13,105399.7,INR,Dormant,2025-07-30,Silver,130.99
A000058,C00040,Salary,B012,2020-11-14,198405.96,INR,Dormant,2025-01-18,Silver,154.92
A000059,C00041,Savings,B004,2025-11-02,199235.09,USD,Active,2026-06-07,Platinum,67.44
A000060,C00041,Salary,B004,2025-07-05,79767.22,INR,Active,2026-03-05,Classic,31.98
A000061,C00042,Current,B010,2021-05-05,101031.18,INR,Active,2026-08-03,Silver,43.01
A000062,C00042,Salary,B010,2021-09-20,128273.58,INR,Dormant,2025-02-04,Gold,31.29
A000063,C00043,Savings,B025,2025-10-26,216783.9,INR,Active,2025-12-28,Silver,90.94
A000064,C00043,Current,B025,2025-10-26,138664.04,INR,Active,2025-10-31,Platinum,57.15
A000065,C00043,Savings,B025,2025-10-26,182434.64,INR,Active,2026-07-30,Gold,160.04
A000066,C00044,Savings,B004,2023-07-01,72951.88,INR,Dormant,2024-04-25,Platinum,141.35
A000067,C00044,Savings,B004,2023-07-01,132251.05,INR,Dormant,2024-03-31,Platinum,153.87
A000068,C00044,Salary,B004,2023-09-24,202952.73,INR,Dormant,2024-02-28,Gold,164.76
A000069,C00045,Savings,B025,2024-01-14,35473.04,INR,Dormant,2025-01-13,Gold,36.63
A000070,C00045,Salary,B025,2024-06-21,113162.6,INR,Active,2026-01-16,Platinum,26.74
A000071,C00046,Salary,B015,2026-06-01,98460.79,INR,Active,2026-06-13,Gold,112.82
A000072,C00047,Current,B020,2023-06-01,24685.76,INR,Active,2026-01-05,Classic,170.43
A000073,C00047,Salary,B020,2026-01-16,358479.28,INR,Active,2026-07-25,Silver,23.86
A000074,C00048,Savings,B016,2025-09-29,1155664.42,INR,Active,2025-10-13,Gold,76.38
A000075,C00048,Salary,B016,2025-09-29,174720.17,INR,Active,2026-05-15,Gold,142.98
A000076,C00048,Savings,B016,2025-09-29,226724.34,INR,Active,2026-07-06,Silver,155.16
A000077,C00049,Savings,B018,2025-11-29,1048712.6,INR,Active,2026-08-31,Gold,36.21
A000078,C00049,Current,B018,2026-03-04,44896.87,INR,Active,2026-06-15,Platinum,52.34
A000079,C00050,Savings,B004,2022-10-12,64070.35,INR,Active,2026-04-05,Classic,37.84
A000080,C00050,Current,B004,2024-09-04,38405.73,INR,Active,2026-08-22,Classic,51.78
A000081,C00051,Current,B006,2023-07-16,187808.96,INR,Active,2026-05-22,Platinum,36.58
A000082,C00052,Salary,B001,2022-04-18,76698.33,INR,Active,2025-09-20,Gold,24.22
A000083,C00052,Savings,B001,2021-06-15,49390.63,INR,Dormant,2024-09-08,Gold,58.99
A000084,C00052,Savings,B001,2025-11-12,228797.96,INR,Active,2026-07-17,Silver,85.97
A000085,C00053,Current,B002,2026-01-13,360100.02,EUR,Active,2026-06-09,Gold,89.01
A000086,C00053,Savings,B002,2025-09-12,91623.37,INR,Active,2026-02-22,Gold,157.59
A000087,C00054,Savings,B015,2025-01-13,87098.72,INR,Active,2026-08-28,Silver,135.22
A000088,C00054,Current,B015,2026-03-26,172851.77,INR,Active,2026-08-14,Classic,93.64
A000089,C00054,Savings,B015,2025-08-17,19224.79,INR,Active,2026-03-28,Gold,96.26
A000090,C00055,Savings,B008,2022-12-22,50861.66,INR,Dormant,2024-03-07,Classic,134.18
A000091,C00055,Savings,B008,2020-06-30,71141.94,INR,Dormant,2025-02-09,Gold,57.21
A000092,C00056,Savings,B015,2025-11-19,251733.12,USD,Active,2026-01-31,Classic,133.94
A000093,C00056,Savings,B015,2025-11-19,128767.78,INR,Active,2025-12-25,Silver,59.81
A000094,C00057,Current,B003,2021-01-04,141199.6,INR,Active,2026-05-05,Classic,35.07
A000095,C00058,Current,B020,2023-05-06,125685.41,INR,Active,2026-04-04,Classic,69.79
A000096,C00059,Savings,B025,2021-10-29,50840.18,INR,Dormant,2025-05-26,Classic,74.36
A000097,C00060,Savings,B016,2025-02-13,25435.69,INR,Dormant,2025-04-16,Classic,20.75
A000098,C00060,Savings,B016,2025-02-13,109517.18,INR,Active,2026-03-03,Gold,35.51
A000099,C00061,Savings,B013,2025-06-06,31554.15,INR,Active,2026-03-26,Silver,101.17
A000100,C00061,Salary,B013,2025-06-06,2163186.3,INR,Dormant,2025-06-21,Classic,149.15
A000101,C00062,Savings,B012,2023-10-25,116811.99,INR,Active,2025-11-30,Silver,179.57
A000102,C00063,Salary,B001,2026-05-21,31616.75,INR,Active,2026-07-30,Platinum,50.13
A000103,C00063,Savings,B001,2023-01-07,94049.55,INR,Dormant,2024-03-01,Platinum,141.11
A000104,C00064,Savings,B010,2026-01-14,161103.83,INR,Active,2026-05-08,Platinum,89.62
A000105,C00064,Savings,B010,2026-01-14,18092.77,INR,Active,2026-05-19,Gold,99.62
A000106,C00065,Savings,B005,2026-05-15,171155.52,INR,Active,2026-07-21,Silver,122.55
A000107,C00065,Current,B005,2026-05-15,27890.29,INR,Active,2026-05-18,Classic,151.8
A000108,C00066,Savings,B019,2024-09-13,89095.0,INR,Active,2026-03-03,Silver,35.78
A000109,C00066,Salary,B019,2024-08-01,175939.69,INR,Active,2026-07-31,Classic,27.24
A000110,C00067,Salary,B023,2020-04-21,652405.62,INR,Active,2026-08-04,Gold,177.5
A000111,C00068,Salary,B005,2025-04-24,22850.1,INR,Active,2026-08-06,Platinum,128.86
A000112,C00068,Current,B005,2026-01-08,148524.26,INR,Active,2026-03-28,Platinum,151.77
A000113,C00068,Savings,B005,2025-04-24,119981.52,INR,Active,2026-06-16,Silver,126.07
A000114,C00069,Current,B021,2022-06-17,82977.58,INR,Dormant,2024-06-11,Gold,172.85
A000115,C00070,Current,B010,2025-09-04,6733.38,INR,Active,2026-06-05,Classic,83.18
A000116,C00070,Salary,B010,2025-09-04,102487.5,INR,Active,2025-10-18,Classic,95.03
A000117,C00071,Savings,B008,2023-05-09,121366.1,INR,Dormant,2024-07-07,Gold,90.1
A000118,C00072,Current,B015,2020-08-09,149452.36,INR,Active,2025-11-09,Gold,27.0
A000119,C00073,Savings,B016,2022-04-25,43860.68,INR,Active,2026-08-01,Platinum,44.5
A000120,C00074,Savings,B025,2025-09-10,18344.9,INR,Active,2026-07-28,Platinum,31.1
A000121,C00075,Savings,B022,2025-03-30,145447.08,INR,Active,2025-09-10,Silver,135.85
A000122,C00076,Savings,B011,2021-04-23,53337.47,INR,Active,2025-12-01,Classic,157.12
A000123,C00077,Savings,B010,2025-02-12,120160.26,INR,Dormant,2025-05-28,Platinum,165.64
A000124,C00077,Savings,B010,2024-07-02,59717.75,INR,Active,2026-03-21,Gold,55.81
A000125,C00078,Current,B018,2023-05-11,67457.37,INR,Dormant,2024-09-20,Silver,26.81
A000126,C00079,Salary,B012,2025-02-28,111798.02,INR,Active,2026-04-15,Platinum,93.69
A000127,C00080,Salary,B023,2024-03-13,117909.57,INR,Dormant,2025-03-20,Silver,54.71
A000128,C00081,Savings,B024,2026-05-24,54926.93,INR,Active,2026-08-11,Platinum,79.97
A000129,C00082,Savings,B023,2024-04-10,36037.48,USD,Dormant,2024-07-30,Platinum,28.14
A000130,C00083,Savings,B004,2020-10-03,88171.08,INR,Active,2025-11-06,Silver,81.76
A000131,C00084,Savings,B011,2025-04-26,39290.32,INR,Active,2026-05-24,Platinum,70.64
A000132,C00084,Savings,B011,2020-08-12,176034.57,INR,Active,2026-02-19,Classic,145.91
A000133,C00085,Savings,B012,2019-08-05,46656.6,INR,Dormant,2024-12-05,Classic,78.07
A000134,C00086,Current,B016,2024-01-04,38205.85,INR,Dormant,2025-05-04,Silver,164.13
A000135,C00086,Savings,B016,2023-08-28,108173.73,INR,Dormant,2024-05-01,Platinum,131.98
A000136,C00087,Salary,B021,2023-02-20,28520.11,INR,Dormant,2024-04-26,Silver,160.84
A000137,C00088,Savings,B020,2021-01-31,101560.1,INR,Dormant,2025-08-23,Platinum,171.46
A000138,C00089,Salary,B024,2024-03-08,164378.4,INR,Dormant,2024-05-16,Classic,178.86
A000139,C00090,Current,B009,2026-02-10,15234.21,INR,Active,2026-05-03,Gold,116.45
A000140,C00090,Salary,B009,2025-06-17,269024.54,INR,Active,2026-05-01,Gold,50.72
A000141,C00091,Savings,B018,2019-06-17,16653.84,INR,Dormant,2025-05-16,Gold,91.83
A000142,C00092,Savings,B012,2026-05-13,128073.73,INR,Active,2026-07-10,Classic,137.54
A000143,C00093,Savings,B008,2024-06-09,134526.95,INR,Dormant,2025-07-03,Gold,148.5
A000144,C00094,Salary,B005,2023-07-26,101337.02,INR,Active,2025-12-25,Platinum,167.0
A000145,C00094,Savings,B005,2022-07-29,153081.58,INR,Active,2026-06-01,Gold,30.39
A000146,C00095,Savings,B024,2021-06-30,157346.44,INR,Dormant,2021-07-27,Classic,45.0
A000147,C00096,Salary,B020,2024-03-02,147174.14,INR,Active,2025-12-08,Silver,51.92
A000148,C00096,Current,B020,2023-06-13,163189.66,INR,Dormant,2024-07-09,Classic,81.9
A000149,C00097,Savings,B010,2025-06-25,39891.89,INR,Active,2026-06-22,Classic,90.8
A000150,C00097,Savings,B010,2025-06-25,256421.96,INR,Active,2025-09-23,Silver,131.99
A000151,C00098,Savings,B001,2021-02-05,150199.99,INR,Active,2026-05-18,Gold,54.92
A000152,C00098,Savings,B001,2022-11-13,131739.75,INR,Active,2026-01-23,Classic,30.05
A000153,C00099,Current,B013,2025-12-13,134592.59,INR,Active,2026-07-21,Gold,131.69
A000154,C00100,Salary,B003,2025-05-20,52408.89,INR,Active,2025-10-01,Gold,99.95
A000155,C00101,Savings,B003,2021-02-18,25287.51,INR,Dormant,2024-08-21,Platinum,71.9
A000156,C00101,Salary,B003,2023-07-10,79087.77,INR,Dormant,2025-04-19,Platinum,87.14
A000157,C00102,Savings,B009,2022-07-21,123996.48,INR,Dormant,2025-01-25,Silver,44.17
A000158,C00103,Savings,B021,2024-05-01,52076.81,INR,Dormant,2025-06-05,Silver,68.56
A000159,C00103,Salary,B021,2025-02-28,78181.87,INR,Active,2025-12-09,Silver,97.97
A000160,C00103,Current,B021,2024-05-01,209320.15,INR,Dormant,2024-10-13,Platinum,148.58
A000161,C00104,Savings,B012,2022-06-15,172608.75,INR,Active,2025-10-08,Classic,115.86
A000162,C00105,Savings,B015,2023-03-10,19589.63,INR,Active,2026-04-06,Classic,91.53
A000163,C00106,Savings,B023,2022-08-29,215001.02,INR,Active,2025-12-05,Platinum,145.89
A000164,C00107,Savings,B014,2022-09-18,33096.47,INR,Active,2025-12-16,Silver,133.3
A000165,C00108,Salary,B020,2025-05-13,225557.75,INR,Active,2026-01-18,Platinum,140.03
A000166,C00109,Savings,B023,2024-09-03,40996.14,INR,Active,2025-12-20,Gold,133.91
A000167,C00109,Savings,B023,2024-09-03,119338.54,INR,Active,2026-01-01,Platinum,109.9
A000168,C00110,Salary,B006,2024-06-08,121128.57,INR,Dormant,2025-04-25,Classic,67.3
A000169,C00110,Savings,B006,2021-06-19,14288.78,INR,Dormant,2025-06-20,Classic,67.71
A000170,C00111,Savings,B020,2019-06-21,68658.55,INR,Active,2025-10-29,Silver,91.47
A000171,C00112,Savings,B020,2023-12-25,337073.21,INR,Active,2026-02-15,Platinum,65.56
A000172,C00113,Savings,B025,2021-02-28,98057.03,INR,Dormant,2022-12-28,Platinum,108.02
A000173,C00114,Current,B023,2023-06-09,36063.6,INR,Dormant,2024-07-01,Classic,135.64
A000174,C00114,Current,B023,2024-07-27,11296.91,INR,Dormant,2024-09-30,Gold,175.57
A000175,C00115,Savings,B008,2022-03-12,23468.75,INR,Dormant,2025-05-19,Silver,107.7
A000176,C00116,Savings,B010,2020-10-13,192722.89,INR,Dormant,2024-04-28,Classic,28.4
A000177,C00117,Savings,B008,2021-03-26,49472.84,INR,Dormant,2024-02-13,Gold,71.67
A000178,C00117,Current,B008,2023-06-10,159544.41,INR,Dormant,2024-01-20,Silver,114.35
A000179,C00118,Current,B019,2023-10-12,106074.92,INR,Dormant,2024-12-23,Silver,83.55
A000180,C00119,Savings,B012,2026-01-14,113239.63,INR,Active,2026-07-23,Platinum,45.58
A000181,C00120,Current,B012,2022-10-02,53297.42,INR,Dormant,2024-07-19,Classic,91.29
A000182,C00121,Current,B015,2025-09-05,648513.32,INR,Active,2025-12-18,Silver,141.56
A000183,C00121,Current,B015,2025-09-05,1187109.43,INR,Active,2026-08-24,Gold,94.2
A000184,C00121,Current,B015,2025-09-05,185228.82,INR,Active,2026-06-22,Platinum,135.2
A000185,C00122,Savings,B016,2024-02-03,190991.45,INR,Dormant,2025-06-20,Silver,32.43
A000186,C00123,Savings,B013,2022-12-07,49281.19,INR,Dormant,2022-12-18,Silver,35.56
A000187,C00124,Current,B006,2024-10-03,123692.02,INR,Dormant,2025-01-17,Classic,68.33
A000188,C00125,Salary,B012,2022-12-24,317241.68,INR,Dormant,2024-05-03,Platinum,47.93
A000189,C00126,Current,B022,2026-05-30,134651.87,INR,Active,2026-08-12,Platinum,30.13
A000190,C00127,Savings,B002,2024-05-12,20979.39,INR,Active,2026-04-06,Silver,175.67
A000191,C00127,Savings,B002,2024-05-12,305983.03,INR,Dormant,2024-10-02,Gold,23.91
A000192,C00128,Salary,B008,2021-08-19,8371.07,INR,Active,2025-12-07,Silver,134.49
A000193,C00129,Savings,B007,2023-01-02,284513.99,INR,Active,2025-09-04,Gold,136.19
A000194,C00129,Savings,B007,2023-01-02,58125.21,INR,Active,2026-01-22,Gold,142.77
A000195,C00130,Current,B022,2024-07-18,55757.81,INR,Active,2026-06-09,Silver,73.25
A000196,C00131,Savings,B021,2025-11-08,235339.2,INR,Active,2026-01-31,Silver,115.81
A000197,C00132,Salary,B005,2024-03-09,16404.75,INR,Active,2026-07-28,Platinum,160.92
A000198,C00133,Savings,B005,2024-10-29,33335.75,INR,Dormant,2025-02-12,Silver,129.44
A000199,C00133,Salary,B005,2024-06-26,213520.53,INR,Dormant,2024-10-23,Platinum,55.05
A000200,C00133,Savings,B005,2023-07-30,12996.58,INR,Active,2025-12-05,Silver,134.59
A000201,C00134,Salary,B023,2021-08-14,40321.76,INR,Dormant,2025-05-22,Classic,172.25
A000202,C00134,Savings,B023,2021-08-14,118452.78,INR,Dormant,2024-02-01,Classic,87.51
A000203,C00135,Savings,B021,2025-09-13,55270.21,INR,Active,2026-02-13,Platinum,121.64
A000204,C00136,Current,B025,2020-05-13,232317.49,INR,Dormant,2025-05-26,Classic,87.63
A000205,C00137,Salary,B002,2025-09-21,138284.63,INR,Active,2025-10-04,Classic,33.27
A000206,C00138,Current,B017,2022-02-26,42050.26,INR,Dormant,2025-04-10,Gold,69.57
A000207,C00138,Salary,B017,2024-01-23,139238.67,INR,Dormant,2024-08-31,Platinum,31.06
A000208,C00139,Savings,B011,2025-05-03,106121.72,INR,Active,2025-11-17,Classic,131.71
A000209,C00140,Salary,B017,2022-05-30,49627.52,INR,Active,2026-05-24,Silver,174.97
A000210,C00141,Savings,B010,2023-04-12,285609.95,INR,Dormant,2024-01-06,Platinum,27.02
A000211,C00142,Savings,B003,2025-07-18,36769.03,INR,Active,2026-03-27,Classic,36.25
A000212,C00143,Current,B007,2025-10-14,16791.39,INR,Active,2026-07-29,Platinum,23.29
A000213,C00144,Current,B005,2026-02-13,23559.77,INR,Active,2026-07-02,Platinum,30.71
A000214,C00145,Salary,B019,2025-12-12,10440.74,INR,Active,2026-08-12,Silver,39.36
A000215,C00146,Savings,B016,2024-09-10,101557.11,INR,Active,2025-12-10,Silver,113.14
A000216,C00147,Savings,B022,2021-04-09,170221.58,INR,Dormant,2024-05-30,Classic,38.04
A000217,C00148,Current,B016,2024-11-09,30746.71,INR,Active,2025-09-15,Classic,47.59
A000218,C00148,Savings,B016,2026-01-12,638429.61,INR,Active,2026-05-30,Classic,96.43
A000219,C00149,Savings,B015,2020-11-05,57186.43,INR,Dormant,2024-09-09,Gold,85.02
A000220,C00149,Current,B015,2019-12-11,67949.29,INR,Active,2026-06-10,Gold,82.52
A000221,C99999,Current,B015,2021-07-09,42234.71,INR,Active,2026-02-05,Platinum,123.37
A000222,C00150,Savings,B025,2025-09-19,17063.97,INR,Active,2026-06-12,Classic,86.77
A000223,C00150,Savings,B025,2021-05-04,58775.44,INR,Active,2026-03-02,Gold,68.56
A000224,C00151,Savings,B018,2025-08-03,87761.21,INR,Active,2026-03-31,Silver,95.09
A000225,C00152,Savings,B007,2022-11-03,114866.8,INR,Dormant,2025-06-29,Gold,159.96
A000226,C00153,Savings,B008,2023-12-16,38386.16,INR,Active,2026-07-17,Gold,62.23
A000227,C00154,Current,B016,2025-11-16,448679.75,INR,Active,2026-01-26,Gold,134.02
A000228,C00155,Savings,B006,2024-03-10,52853.76,INR,Active,2025-10-26,Gold,49.29
A000229,C00156,Savings,B010,2021-10-04,34186.57,INR,Dormant,2025-02-05,Silver,60.76
A000230,C00156,Savings,B010,2021-10-04,326584.42,EUR,Dormant,2025-01-20,Gold,101.78
A000231,C00157,Savings,B023,2023-10-18,116138.28,INR,Active,2025-10-05,Classic,42.36
A000232,C00158,Salary,B004,2025-07-04,193800.65,INR,Dormant,2025-07-25,Gold,40.39
A000233,C00159,Current,B009,2023-09-30,52199.26,INR,Dormant,2025-05-02,Gold,168.46
A000234,C00160,Savings,B010,2025-03-01,54910.21,INR,Active,2026-01-19,Silver,34.59
A000235,C00161,Salary,B025,2023-04-13,35058.57,INR,Active,2026-04-08,Silver,166.82
A000236,C00161,Savings,B025,2023-04-13,38222.1,INR,Dormant,2024-09-01,Platinum,54.14
A000237,C00162,Savings,B004,2024-04-29,150612.0,INR,Dormant,2025-07-26,Platinum,146.33
A000238,C00163,Savings,B016,2024-08-06,371435.18,INR,Active,2026-01-07,Classic,116.15
A000239,C00164,Savings,B024,2023-07-13,60090.51,INR,Dormant,2024-07-31,Silver,80.71
A000240,C00164,Salary,B024,2021-06-16,19902.75,INR,Active,2025-12-03,Classic,82.22
A000241,C00165,Savings,B003,2024-07-03,49286.86,INR,Active,2025-09-22,Gold,96.56
A000242,C00166,Salary,B015,2026-03-26,208127.64,INR,Active,2026-08-05,Platinum,78.33
A000243,C00167,Savings,B001,2020-10-12,95922.68,INR,Dormant,2024-04-04,Gold,92.5
A000244,C00167,Savings,B001,2023-11-21,34141.99,INR,Dormant,2024-10-12,Classic,57.09
A000245,C00168,Savings,B024,2026-05-05,351066.16,INR,Active,2026-08-13,Silver,22.75
A000246,C00169,Current,B008,2019-11-12,13675.2,INR,Dormant,2024-03-09,Platinum,108.55
A000247,C00169,Savings,B008,2021-01-02,59213.51,INR,Dormant,2024-06-05,Classic,100.15
A000248,C00169,Salary,B008,2023-06-02,60150.93,INR,Dormant,2024-05-18,Gold,111.82
A000249,C00170,Savings,B011,2025-07-17,34897.41,INR,Active,2026-07-15,Classic,30.73
A000250,C00171,Savings,B018,2024-03-02,140618.9,INR,Dormant,2025-08-25,Platinum,162.21
A000251,C00172,Current,B008,2024-10-29,192707.33,INR,Active,2025-10-26,Gold,103.76
A000252,C00173,Savings,B009,2024-08-08,24196.36,INR,Dormant,2024-12-15,Gold,38.49
A000253,C00174,Savings,B007,2022-05-11,62600.83,INR,Dormant,2025-02-01,Silver,123.85
A000254,C00174,Savings,B007,2021-09-28,214774.45,INR,Dormant,2023-01-06,Platinum,79.45
A000255,C00175,Savings,B013,2020-04-17,58673.98,INR,Dormant,2024-09-08,Platinum,161.93
A000256,C00176,Savings,B015,2023-07-30,93216.37,EUR,Dormant,2024-12-29,Platinum,30.84
A000257,C00176,Savings,B015,2023-07-30,221132.35,INR,Active,2026-08-02,Silver,120.91
A000258,C00177,Savings,B005,2022-09-30,57553.63,INR,Active,2026-03-28,Classic,161.37
A000259,C00178,Savings,B024,2024-10-06,117986.28,INR,Dormant,2024-11-12,Silver,169.27
A000260,C00178,Savings,B024,2026-05-29,58604.5,INR,Active,2026-08-28,Silver,141.94
A000261,C00179,Current,B022,2022-02-03,28789.09,INR,Dormant,2025-02-07,Silver,88.31
A000262,C00180,Salary,B022,2025-02-25,530042.67,INR,Dormant,2025-02-25,Silver,167.97
A000263,C00181,Savings,B023,2024-02-26,33198.16,INR,Active,2026-06-06,Gold,121.04
A000264,C00182,Savings,B003,2025-08-12,427928.72,INR,Active,2026-05-05,Silver,56.19
A000265,C00183,Savings,B003,2022-09-06,84406.78,INR,Active,2026-08-20,Gold,148.27
A000266,C00184,Salary,B019,2025-03-23,79076.7,INR,Active,2025-11-06,Gold,86.02
A000267,C00185,Savings,B002,2025-05-19,294232.79,INR,Dormant,2025-06-29,Classic,89.7
A000268,C00186,Savings,B022,2024-04-22,61639.87,INR,Dormant,2024-05-23,Platinum,168.45
A000269,C00186,Savings,B022,2022-05-13,46626.47,INR,Dormant,2025-02-19,Gold,45.47
A000270,C00187,Savings,B025,2024-10-14,97432.27,INR,Dormant,2025-01-25,Silver,178.69
A000271,C00188,Savings,B014,2022-03-18,41079.98,INR,Dormant,2024-10-25,Gold,126.57
A000272,C00189,Savings,B005,2025-02-09,83102.9,INR,Active,2026-01-13,Classic,153.09
A000273,C00190,Savings,B014,2025-10-18,89423.27,INR,Active,2026-02-28,Gold,25.13
A000274,C00191,Current,B024,2024-04-20,259791.85,INR,Active,2026-07-28,Platinum,86.88
A000275,C00191,Salary,B024,2022-06-20,50403.62,INR,Active,2025-11-13,Classic,29.4
A000276,C00192,Savings,B006,2024-01-13,182747.3,INR,Dormant,2024-05-21,Platinum,85.58
A000277,C00192,Salary,B006,2025-03-11,33031.8,INR,Active,2026-01-14,Silver,82.53
A000278,C00193,Savings,B015,2021-10-29,83989.0,INR,Dormant,2025-02-02,Gold,91.94
A000279,C00194,Current,B020,2025-04-20,440178.38,INR,Active,2026-03-23,Classic,159.07
A000280,C00194,Savings,B020,2025-04-20,223799.84,INR,Active,2025-11-18,Silver,58.4
A000281,C00195,Salary,B019,2023-07-05,59086.94,INR,Active,2026-01-08,Gold,20.44
A000282,C00196,Salary,B025,2025-08-24,40448.81,INR,Active,2025-12-05,Gold,104.94
A000283,C00197,Salary,B010,2025-11-13,9193.25,INR,Active,2026-02-21,Platinum,174.26
A000284,C00197,Current,B010,2025-02-07,76569.78,INR,Active,2026-08-12,Classic,95.92
