credit_score_id,customer_id,credit_score,score_date,past_due_accounts,credit_utilization_pct,hard_inquiries_12m,credit_history_years
CS00296,C00296,776,2026-02-07,0,41.8,2,5
CS00297,C00297,755,2025-05-15,0,25.7,0,7
CS00298,C00298,751,2026-06-14,0,38.6,3,11
CS00299,C00299,748,2025-01-22,0,17.7,4,9
CS00300,C00300,782,2025-09-18,2,14.7,7,1
CS00301,C00301,647,2025-11-18,1,37.4,6,6
CS00302,C00302,832,2025-08-25,0,54.2,2,4
CS00303,C00303,679,2026-03-17,0,48.5,1,10
CS00304,C00304,744,2026-07-04,0,3.3,6,3
CS00305,C00305,689,2025-01-01,0,1,5,0
CS00306,C00306,722,2025-10-24,0,47.9,8,10
CS00307,C00307,606,2026-03-07,1,48.5,1,4
CS00308,C00308,650,2025-07-14,0,9.6,6,0
CS00309,C00309,754,2026-08-31,0,40.3,4,12
CS00310,C00310,706,2026-03-04,0,1,3,9
CS00311,C00311,791,2026-06-22,1,26.8,3,0
CS00312,C00312,685,2025-10-15,0,1,1,6
CS00313,C00313,759,2025-04-27,0,17.1,8,11
CS00314,C00314,751,2025-12-27,1,52.5,5,6
CS00315,C00315,713,2025-12-25,0,16.6,6,5
CS00316,C00316,628,2026-02-14,1,42.7,2,6
CS00317,C00317,599,2025-01-13,1,54.6,7,2
CS00318,C00318,683,2025-01-02,0,1,1,10
CS00319,C00319,622,2026-04-04,0,71.7,3,5
CS00320,C00320,734,2026-03-07,0,54.7,3,11
CS00321,C00321,661,2026-07-01,0,40.4,7,8
CS00322,C00322,800,2026-08-22,0,18.1,1,10
CS00323,C00323,684,2026-07-16,2,40.7,1,4
CS00324,C00324,766,2026-02-01,0,37.8,6,6
CS00325,C00325,599,2026-04-06,0,39.8,5,12
CS00326,C00326,793,2026-05-19,0,30.3,4,5
CS00327,C00327,632,2026-01-10,1,70.3,4,3
CS00328,C00328,643,2025-04-02,0,64.0,7,3
CS00329,C00329,649,2025-02-03,0,79.6,5,6
CS00330,C00330,758,2025-12-06,0,22.5,7,11
CS00331,C00331,575,2025-01-19,1,61.4,7,11
CS00332,C00332,670,2026-07-25,0,37.9,2,6
CS00333,C00333,727,2026-05-08,0,33.7,1,2
CS00334,C00334,693,2025-09-26,0,26.5,5,4
CS00335,C00335,672,2025-03-01,0,50.1,0,8
CS00336,C00336,685,2025-02-07,0,14.4,8,3
CS00337,C00337,622,2026-04-15,0,66.8,2,4
CS00338,C00338,792,2026-01-22,0,42.2,3,12
CS00339,C00339,696,2026-06-23,0,40.1,0,0
CS00340,C00340,784,2026-08-18,0,41.1,2,9
CS00341,C00341,655,2025-01-19,2,1,4,1
CS00342,C00342,716,2026-03-25,1,33.8,6,5
CS00343,C00343,767,2026-02-01,0,49.4,3,5
CS00344,C00344,759,2025-04-13,0,30.6,2,2
CS00345,C00345,641,2025-12-02,1,60.9,2,2
CS00346,C00346,662,2025-09-13,0,38.0,4,0
CS00347,C00347,627,2026-04-08,1,94.6,1,2
CS00348,C00348,525,2026-01-04,1,73.2,0,4
CS00349,C00349,744,2025-06-19,0,38.0,0,5
CS00350,C00350,605,2025-03-13,0,75.0,8,12
CS00351,C00351,980,2026-08-17,0,50.4,4,12
CS00352,C00352,749,2025-10-10,0,37.2,8,6
CS00353,C00353,710,2025-12-01,0,46.4,5,8
CS00354,C00354,763,2025-10-16,0,44.9,2,2
CS00355,C00355,705,2026-07-23,0,48.2,6,3
CS00356,C00356,751,2025-03-14,0,55.0,7,1
CS00357,C00357,692,2025-03-17,0,54.1,8,0
CS00358,C00358,584,2025-06-06,0,77.0,1,4
CS00359,C00359,717,2025-09-12,0,26.1,6,1
CS00360,C00360,626,2025-01-26,0,99,1,8
CS00361,C00361,590,2025-04-15,0,77.8,2,11
CS00362,C00362,573,2025-11-19,1,50.6,2,4
CS00363,C00363,703,2026-07-20,0,29.0,1,0
CS00364,C00364,665,2025-08-14,0,49.6,3,12
CS00365,C00365,714,2026-07-30,0,24.6,5,1
CS00366,C00366,638,2025-08-26,1,86.3,7,9
CS00367,C00367,649,2026-04-07,0,81.5,0,9
CS00368,C00368,740,2025-10-09,0,3.5,6,7
CS00369,C00369,778,2026-05-31,0,23.0,0,3
CS00370,C00370,709,2025-04-18,0,67.6,6,4
CS00371,C00371,666,2025-06-06,0,9.4,7,9
CS00372,C00372,721,2025-10-03,0,15.8,4,0
CS00373,C00373,708,2026-04-06,1,32.6,8,7
CS00374,C00374,784,2025-01-04,0,27.1,1,11
CS00375,C00375,727,2025-10-23,1,63.1,6,4
CS00376,C00376,754,2025-03-14,1,35.5,3,2
CS00377,C00377,592,2025-12-26,1,65.7,8,0
CS00378,C00378,721,2025-12-23,0,38.0,3,1
CS00379,C00379,680,2025-01-28,0,59.4,5,4
CS00380,C00380,710,2026-02-21,0,24.5,3,6
CS00381,C00381,846,2025-01-22,0,53.0,8,6
CS00382,C00382,746,2026-04-21,0,13.5,6,12
CS00383,C00383,627,2026-06-16,0,46.9,8,1
CS00384,C00384,641,2026-04-24,2,67.0,6,12
CS00385,C00385,862,2026-04-12,1,35.5,1,7
CS00386,C00386,672,2026-05-13,1,25.5,3,10
CS00387,C00387,586,2025-11-14,1,38.0,0,7
CS00388,C00388,616,2026-06-25,2,90.2,1,7
CS00389,C00389,773,2026-03-10,1,62.9,4,9
CS00390,C00390,492,2025-01-25,1,72.0,4,4
CS00391,C00391,860,2026-01-01,1,22.8,7,4
CS00392,C00392,796,2025-08-21,0,61.5,8,4
CS00393,C00393,631,2025-12-17,0,57.5,1,7
CS00394,C00394,719,2025-01-28,0,8.6,5,3
CS00395,C00395,802,2025-02-26,0,24.6,2,6
CS00396,C00396,778,2026-02-18,0,33.4,6,11
CS00397,C00397,779,2026-05-05,1,23.1,1,7
CS00398,C00398,619,2025-08-10,2,56.3,6,11
CS00399,C00399,747,2026-05-23,0,32.9,3,12
CS00400,C00400,664,2026-07-28,0,3.8,6,5
CS00401,C00401,754,2025-06-07,0,52.6,6,8
CS00402,C00402,607,2026-04-10,0,53.0,1,3
CS00403,C00403,694,2025-05-08,0,51.3,6,7
CS00404,C00404,638,2025-02-04,0,72.3,8,10
CS00405,C00405,819,2025-11-24,1,25.9,1,6
CS00406,C00406,687,2025-05-20,0,50.3,8,9
CS00407,C00407,738,2025-09-27,1,20.7,8,11
CS00408,C00408,734,2026-04-04,2,39.2,5,5
CS00409,C00409,555,2025-08-25,1,54.2,2,7
CS00410,C00410,661,2025-04-12,0,1,6,11
CS00411,C00411,642,2025-11-26,0,88.9,0,5
CS00412,C00412,779,2025-01-25,0,27.3,0,0
CS00413,C00413,722,2025-04-24,0,20.1,1,5
CS00414,C00414,582,2026-03-11,1,68.1,7,3
CS00415,C00415,576,2026-06-11,0,99,3,0
CS00416,C00416,768,2025-02-18,0,14.7,2,10
CS00417,C00417,691,2025-11-07,0,26.2,0,12
CS00418,C00418,632,2026-07-29,1,48.6,3,10
CS00419,C00419,703,2025-09-28,0,23.8,7,10
CS00420,C00420,623,2026-04-23,1,60.7,6,5
CS00421,C00421,816,2025-03-13,0,27.6,1,12
CS00422,C00422,673,2026-06-28,0,24.2,0,6
CS00423,C00423,695,2026-02-12,0,39.0,6,1
CS00424,C00424,647,2025-08-17,1,55.8,6,4
CS00425,C00425,694,2026-03-23,0,20.3,3,5
CS00426,C00426,657,2026-08-29,1,49.1,6,4
CS00427,C00427,734,2025-08-19,0,40.3,3,10
CS00428,C00428,586,2025-07-03,1,63.6,8,2
CS00429,C00429,754,2026-02-16,0,48.4,2,6
CS00430,C00430,543,2025-09-04,0,68.4,5,2
CS00431,C00431,740,2026-03-01,0,36.0,8,4
CS00432,C00432,635,2025-09-12,1,36.7,6,12
CS00433,C00433,667,2026-06-04,0,71.5,1,1
CS00434,C00434,842,2025-11-13,0,22.5,0,6
CS00435,C00435,695,2026-06-17,1,57.9,7,1
CS00436,C00436,693,2025-12-08,0,50.2,0,12
CS00437,C00437,646,2025-06-20,0,69.1,0,2
CS00438,C00438,602,2025-12-31,0,52.2,0,11
CS00439,C00439,658,2025-08-30,0,26.2,2,11
CS00440,C00440,685,2026-02-11,0,37.3,2,3
CS00441,C00441,738,2026-07-03,0,38.2,5,5
CS00442,C00442,640,2026-08-27,0,56.4,3,11
CS00443,C00443,540,2026-08-08,1,76.4,7,9
CS00444,C00444,835,2025-11-20,0,28.3,2,4
CS00445,C00445,679,2025-03-29,0,53.4,3,6
CS00446,C00446,724,2026-04-12,1,37.1,6,2
CS00447,C00447,761,2026-04-20,0,40.5,2,5
CS00448,C00448,664,2026-07-23,0,68.9,3,3
CS00449,C00449,695,2025-02-13,0,6.0,0,11
CS00450,C00450,817,2026-06-05,0,12.5,2,10
CS00451,C00451,689,2025-05-23,1,22.2,2,12
CS00452,C00452,691,2025-04-24,1,40.0,8,8
CS00453,C00453,703,2026-03-28,0,37.4,5,12
CS00454,C00454,757,2025-10-25,0,32.2,0,7
CS00455,C00455,702,2026-04-05,0,47.8,2,8
CS00456,C00456,608,2026-04-27,0,91.9,6,10
CS00457,C00457,662,2026-03-17,0,35.9,6,5
CS00458,C00458,644,2025-03-09,1,89.3,5,5
CS00459,C00459,647,2025-01-20,2,82.0,1,0
CS00460,C00460,740,2026-06-10,0,45.1,8,12
CS00461,C00461,677,2026-03-16,0,43.8,0,0
CS00462,C00462,654,2025-08-03,0,64.4,2,2
CS00463,C00463,688,2026-06-26,0,38.4,3,10
CS00464,C00464,805,2025-10-06,0,1.4,4,3
CS00465,C00465,746,2025-07-29,0,1,2,8
CS00466,C00466,599,2025-01-31,1,58.4,6,11
CS00467,C00467,665,2026-03-13,0,8.9,7,11
CS00468,C00468,594,2025-11-09,1,65.7,0,4
CS00469,C00469,582,2025-03-07,2,81.7,6,6
CS00470,C00470,690,2025-09-28,0,34.2,8,4
CS00471,C00471,650,2026-07-20,1,50.8,1,7
CS00472,C00472,714,2026-02-21,0,57.6,6,11
CS00473,C00473,705,2025-05-13,0,32.4,0,5
CS00474,C00474,729,2025-01-19,0,1,6,9
CS00475,C00475,582,2025-04-12,0,61.3,1,5
CS00476,C00476,567,2025-06-16,0,48.2,3,11
CS00477,C00477,752,2026-07-20,1,49.6,8,3
CS00478,C00478,662,2026-04-12,0,14.5,3,5
CS00479,C00479,817,2025-11-10,0,16.7,5,11
CS00480,C00480,684,2025-07-23,0,31.8,1,1
CS00481,C00481,746,2025-06-12,0,41.5,6,2
CS00482,C00482,637,2026-04-20,0,72.6,8,2
CS00483,C00483,643,2026-04-01,1,61.1,3,0
CS00484,C00484,793,2025-09-18,0,25.8,8,12
CS00485,C00485,596,2026-08-31,0,31.3,6,1
CS00486,C00486,717,2025-11-13,0,26.5,3,5
CS00487,C00487,748,2025-10-30,0,25.9,2,0
CS00488,C00488,637,2025-11-30,0,48.3,6,7
CS00489,C00489,662,2025-04-01,1,44.1,7,9
CS00490,C00490,711,2026-07-16,0,62.9,5,7
CS00491,C00491,646,2025-09-14,1,48.5,1,1
CS00492,C00492,816,2026-02-03,1,35.1,5,8
CS00493,C00493,560,2025-02-09,0,67.6,5,10
CS00494,C00494,660,2025-06-21,0,63.3,3,6
CS00495,C00495,668,2026-01-20,0,72.1,3,4
CS00496,C00496,738,2026-04-15,0,47.3,2,10
CS00497,C00497,597,2026-06-13,0,40.4,0,10
