payment_id,loan_id,customer_id,due_date,payment_date,payment_amount,days_late,payment_status
LP0000082,L00006,C00771,2025-01-28,2025-02-06,50476.81,9,Late
LP0000083,L00006,C00771,2025-02-28,2025-03-06,49830.61,6,Late
LP0000084,L00006,C00771,2025-03-28,2025-04-04,51445.72,7,Late
LP0000085,L00006,C00771,2025-04-28,2025-05-02,49976.8,4,Paid
LP0000086,L00006,C00771,2025-05-28,2025-06-07,50469.6,10,Late
LP0000087,L00006,C00771,2025-06-28,2025-06-28,50702.95,0,Paid
LP0000088,L00006,C00771,2025-07-28,2025-07-29,48801.61,1,Paid
LP0000089,L00006,C00771,2025-08-28,2025-08-28,49449.86,0,Paid
LP0000090,L00006,C00771,2025-09-28,2025-10-06,49255.17,8,Late
LP0000091,L00006,C00771,2025-10-28,2025-11-01,49304.54,4,Paid
LP0000092,L00006,C00771,2025-11-28,2025-12-05,51104.73,7,Late
LP0000093,L00006,C00771,2025-12-28,2025-12-30,49747.26,2,Paid
LP0000094,L00006,C00771,2026-01-28,2026-01-29,50492.62,1,Paid
LP0000095,L00006,C00771,2026-02-28,2026-03-07,49971.04,7,Late
LP0000096,L00006,C00771,2026-03-28,2026-04-04,50923.49,7,Late
LP0000097,L00006,C00771,2026-04-28,2026-05-03,50498.44,5,Paid
LP0000098,L00006,C00771,2026-05-28,2026-05-31,51165.7,3,Paid
LP0000099,L00006,C00771,2026-06-28,2026-07-02,48990.84,4,Paid
LP0000100,L00006,C00771,2026-07-28,2026-08-02,49198.94,5,Paid
LP0000101,L00006,C00771,2026-08-28,2026-08-31,51390.07,3,Paid
LP0000102,L00007,C00662,2025-07-28,2025-07-30,14421.31,2,Paid
LP0000103,L00007,C00662,2025-08-28,2025-08-30,14621.38,2,Paid
LP0000104,L00007,C00662,2025-09-28,2025-10-05,14724.73,7,Late
LP0000105,L00007,C00662,2025-10-28,2025-10-30,14706.23,2,Paid
LP0000106,L00007,C00662,2025-11-28,2025-12-02,14623.18,4,Paid
LP0000107,L00007,C00662,2025-12-28,2026-01-07,14602.8,10,Late
LP0000108,L00007,C00662,2026-01-28,2026-01-30,15183.21,2,Paid
LP0000109,L00007,C00662,2026-02-28,2026-03-10,15014.59,10,Late
LP0000110,L00007,C00662,2026-03-28,2026-04-05,15078.94,8,Late
LP0000111,L00007,C00662,2026-04-28,2026-04-30,14385.3,2,Paid
LP0000112,L00007,C00662,2026-05-28,2026-06-01,14768.47,4,Paid
LP0000113,L00007,C00662,2026-06-28,2026-07-04,15183.35,6,Late
LP0000114,L00007,C00662,2026-07-28,2026-07-31,14931.82,3,Paid
LP0000115,L00007,C00662,2026-08-28,2026-08-31,14772.81,3,Paid
LP0000116,L00008,C00373,2023-11-28,2023-12-07,3317.86,9,Late
LP0000117,L00008,C00373,2023-12-28,2024-01-05,3251.89,8,Late
LP0000118,L00008,C00373,2024-01-28,2024-02-05,3326.86,8,Late
LP0000119,L00008,C00373,2024-02-28,2024-03-01,3314.79,2,Paid
LP0000120,L00008,C00373,2024-03-28,2024-03-28,3304.4,0,Paid
LP0000121,L00008,C00373,2024-04-28,2024-05-08,3212.09,10,Late
LP0000122,L00008,C00373,2024-05-28,2024-06-02,3332.14,5,Paid
LP0000123,L00008,C00373,2024-06-28,2024-07-08,3291.48,10,Late
LP0000124,L00008,C00373,2024-07-28,2024-08-06,3307.08,9,Late
LP0000125,L00008,C00373,2024-08-28,2024-08-31,3228.33,3,Paid
LP0000126,L00008,C00373,2024-09-28,2024-10-06,3310.93,8,Late
LP0000127,L00008,C00373,2024-10-28,2024-11-01,3243.67,4,Paid
LP0000128,L00008,C00373,2024-11-28,2024-12-05,3167.31,7,Late
LP0000129,L00008,C00373,2024-12-28,2025-01-03,3268.88,6,Late
LP0000130,L00008,C00373,2025-01-28,2025-01-31,3289.63,3,Paid
LP0000131,L00008,C00373,2025-02-28,2025-03-02,3259.12,2,Paid
LP0000132,L00008,C00373,2025-03-28,2025-03-31,3181.92,3,Paid
LP0000133,L00008,C00373,2025-04-28,2025-05-08,3167.03,10,Late
LP0000134,L00008,C00373,2025-05-28,2025-06-02,3217.0,5,Paid
LP0000135,L00008,C00373,2025-06-28,2025-06-29,3322.76,1,Paid
LP0000136,L00008,C00373,2025-07-28,2025-08-07,3293.84,10,Late
LP0000137,L00008,C00373,2025-08-28,2025-09-04,3271.97,7,Late
LP0000138,L00008,C00373,2025-09-28,2025-10-02,3236.72,4,Paid
LP0000139,L00008,C00373,2025-10-28,2025-11-04,3282.28,7,Late
LP0000140,L00009,C00371,2023-01-28,2023-02-05,29483.12,8,Late
LP0000141,L00009,C00371,2023-02-28,2023-03-01,29229.66,1,Paid
LP0000142,L00009,C00371,2023-03-28,2023-04-06,29224.34,9,Late
LP0000143,L00009,C00371,2023-04-28,2023-05-04,28696.15,6,Late
LP0000144,L00009,C00371,2023-05-28,2023-06-03,29626.38,6,Late
LP0000145,L00009,C00371,2023-06-28,2023-06-29,29848.52,1,Paid
LP0000146,L00009,C00371,2023-07-28,2023-08-06,28889.4,9,Late
LP0000147,L00009,C00371,2023-08-28,2023-09-01,29685.89,4,Paid
LP0000148,L00009,C00371,2023-09-28,2023-10-03,30032.51,5,Paid
LP0000149,L00009,C00371,2023-10-28,2023-11-06,28555.7,9,Late
LP0000150,L00009,C00371,2023-11-28,2023-11-29,28520.14,1,Paid
LP0000151,L00009,C00371,2023-12-28,2024-01-05,28906.47,8,Late
LP0000152,L00009,C00371,2024-01-28,2024-02-04,28622.0,7,Late
LP0000153,L00009,C00371,2024-02-28,2024-03-09,28901.0,10,Late
LP0000154,L00009,C00371,2024-03-28,2024-04-07,28409.59,10,Late
LP0000155,L00009,C00371,2024-04-28,2024-05-07,28810.95,9,Late
LP0000156,L00009,C00371,2024-05-28,2024-05-31,29185.02,3,Paid
LP0000157,L00009,C00371,2024-06-28,2024-07-07,29059.23,9,Late
LP0000158,L00009,C00371,2024-07-28,2024-08-03,29500.94,6,Late
LP0000159,L00009,C00371,2024-08-28,2024-09-05,29922.38,8,Late
LP0000160,L00009,C00371,2024-09-28,2024-10-07,28983.12,9,Late
LP0000161,L00009,C00371,2024-10-28,2024-11-02,28830.7,5,Paid
LP0000162,L00009,C00371,2024-11-28,2024-12-07,29972.1,9,Late
LP0000163,L00009,C00371,2024-12-28,2025-01-04,29508.44,7,Late
LP0000164,L00010,C00937,2024-09-28,2024-10-07,7804.3,9,Late
LP0000165,L00010,C00937,2024-10-28,2024-11-04,8029.06,7,Late
LP0000166,L00010,C00937,2024-11-28,2024-12-08,7836.86,10,Late
LP0000167,L00010,C00937,2024-12-28,2024-12-30,7772.82,2,Paid
LP0000168,L00010,C00937,2025-01-28,2025-02-05,8107.88,8,Late
LP0000169,L00010,C00937,2025-02-28,2025-03-01,7774.22,1,Paid
LP0000170,L00010,C00937,2025-03-28,2025-03-28,7809.83,0,Paid
LP0000171,L00010,C00937,2025-04-28,2025-05-02,7848.48,4,Paid
LP0000172,L00010,C00937,2025-05-28,2025-06-03,8083.73,6,Late
LP0000173,L00010,C00937,2025-06-28,2025-07-07,7790.77,9,Late
LP0000174,L00010,C00937,2025-07-28,2025-07-30,7916.59,2,Paid
LP0000175,L00010,C00937,2025-08-28,2025-09-02,7997.6,5,Paid
LP0000176,L00010,C00937,2025-09-28,2025-10-07,7926.41,9,Late
LP0000177,L00010,C00937,2025-10-28,2025-11-01,8179.4,4,Paid
LP0000178,L00010,C00937,2025-11-28,2025-11-28,8034.39,0,Paid
LP0000179,L00010,C00937,2025-12-28,2026-01-03,7976.89,6,Late
LP0000180,L00010,C00937,2026-01-28,2026-02-07,8097.88,10,Late
LP0000181,L00010,C00937,2026-02-28,2026-03-10,8238.87,10,Late
LP0000182,L00010,C00937,2026-03-28,2026-03-28,8081.8,0,Paid
LP0000183,L00010,C00937,2026-04-28,2026-04-28,7763.81,0,Paid
LP0000184,L00010,C00937,2026-05-28,2026-06-01,8066.13,4,Paid
LP0000185,L00010,C00937,2026-06-28,2026-07-03,8010.28,5,Paid
LP0000186,L00010,C00937,2026-07-28,2026-08-04,8195.33,7,Late
LP0000187,L00010,C00937,2026-08-28,2026-09-01,7838.27,4,Paid
LP0000188,L00011,C00699,2025-04-28,2025-04-30,21245.35,2,Paid
LP0000189,L00011,C00699,2025-05-28,2025-06-07,21776.2,10,Late
LP0000190,L00011,C00699,2025-06-28,2025-07-02,21746.55,4,Paid
LP0000191,L00011,C00699,2025-07-28,2025-08-06,21851.22,9,Late
LP0000192,L00011,C00699,2025-08-28,2025-09-03,21074.12,6,Late
LP0000193,L00011,C00699,2025-09-28,2025-10-08,20792.05,10,Late
LP0000194,L00011,C00699,2025-10-28,2025-11-01,21669.41,4,Paid
LP0000195,L00011,C00699,2025-11-28,2025-12-01,21717.09,3,Paid
LP0000196,L00011,C00699,2025-12-28,2026-01-02,20774.77,5,Paid
LP0000197,L00011,C00699,2026-01-28,2026-03-05,12284.22,36,Partial
LP0000198,L00011,C00699,2026-02-28,,0,57,Missed
LP0000199,L00011,C00699,2026-03-28,,0,60,Missed
LP0000200,L00011,C00699,2026-04-28,,0,85,Missed
LP0000201,L00011,C00699,2026-05-28,,0,87,Missed
LP0000202,L00011,C00699,2026-06-28,2026-07-29,15357.05,31,Partial
LP0000203,L00011,C00699,2026-07-28,,0,72,Missed
LP0000204,L00011,C00699,2026-08-28,2026-09-25,14064.0,28,Partial
LP0000205,L00012,C00455,2023-11-28,2023-12-08,17225.35,10,Late
LP0000206,L00012,C00455,2023-12-28,2024-01-01,17903.55,4,Paid
LP0000207,L00012,C00455,2024-01-28,2024-02-06,17615.77,9,Late
LP0000208,L00012,C00455,2024-02-28,2024-02-29,17423.91,1,Paid
LP0000209,L00012,C00455,2024-03-28,2024-04-04,18119.56,7,Late
LP0000210,L00012,C00455,2024-04-28,2024-04-29,17819.41,1,Paid
LP0000211,L00012,C00455,2024-05-28,2024-06-07,17817.5,10,Late
LP0000212,L00012,C00455,2024-06-28,2024-07-06,17183.18,8,Late
LP0000213,L00012,C00455,2024-07-28,2024-08-03,17242.05,6,Late
LP0000214,L00012,C00455,2024-08-28,2024-09-07,18203.18,10,Late
LP0000215,L00012,C00455,2024-09-28,2024-10-07,17188.89,9,Late
LP0000216,L00012,C00455,2024-10-28,2024-11-01,18208.66,4,Paid
LP0000217,L00012,C00455,2024-11-28,2024-12-04,18092.96,6,Late
LP0000218,L00012,C00455,2024-12-28,2025-01-03,17792.57,6,Late
LP0000219,L00012,C00455,2025-01-28,2025-02-04,18034.75,7,Late
LP0000220,L00012,C00455,2025-02-28,2025-03-04,17654.99,4,Paid
LP0000221,L00012,C00455,2025-03-28,2025-03-29,17638.96,1,Paid
LP0000222,L00012,C00455,2025-04-28,2025-04-30,17459.0,2,Paid
LP0000223,L00012,C00455,2025-05-28,2025-05-31,17542.2,3,Paid
LP0000224,L00012,C00455,2025-06-28,2025-07-04,17682.45,6,Late
LP0000225,L00012,C00455,2025-07-28,2025-07-31,17981.82,3,Paid
LP0000226,L00012,C00455,2025-08-28,2025-08-28,17382.82,0,Paid
LP0000227,L00012,C00455,2025-09-28,2025-10-03,17954.8,5,Paid
LP0000228,L00012,C00455,2025-10-28,2025-11-03,18138.41,6,Late
LP0000229,L00013,C00633,2024-02-28,2024-03-08,39652.53,9,Late
LP0000230,L00013,C00633,2024-03-28,2024-03-30,40879.78,2,Paid
LP0000231,L00013,C00633,2024-04-28,2024-05-03,40036.88,5,Paid
LP0000232,L00013,C00633,2024-05-28,2024-06-03,39935.22,6,Late
LP0000233,L00013,C00633,2024-06-28,2024-07-03,40509.87,5,Paid
LP0000234,L00013,C00633,2024-07-28,2024-08-04,41085.99,7,Late
LP0000235,L00013,C00633,2024-08-28,2024-08-29,40550.2,1,Paid
LP0000236,L00013,C00633,2024-09-28,2024-10-08,39958.24,10,Late
LP0000237,L00013,C00633,2024-10-28,2024-11-05,40412.23,8,Late
LP0000238,L00013,C00633,2024-11-28,2024-12-08,40188.81,10,Late
LP0000239,L00013,C00633,2024-12-28,2025-01-04,40778.02,7,Late
LP0000240,L00013,C00633,2025-01-28,2025-02-01,41032.53,4,Paid
LP0000241,L00013,C00633,2025-02-28,2025-03-06,40557.51,6,Late
LP0000242,L00013,C00633,2025-03-28,2025-03-29,39201.06,1,Paid
LP0000243,L00013,C00633,2025-04-28,2025-05-04,38972.7,6,Late
LP0000244,L00013,C00633,2025-05-28,2025-06-06,40434.04,9,Late
LP0000245,L00013,C00633,2025-06-28,2025-07-07,39251.88,9,Late
LP0000246,L00013,C00633,2025-07-28,2025-08-03,40368.13,6,Late
LP0000247,L00013,C00633,2025-08-28,2025-08-31,39018.61,3,Paid
LP0000248,L00013,C00633,2025-09-28,2025-10-07,39708.03,9,Late
LP0000249,L00013,C00633,2025-10-28,2025-11-04,39561.5,7,Late
LP0000250,L00013,C00633,2025-11-28,2025-12-02,39374.29,4,Paid
LP0000251,L00013,C00633,2025-12-28,2026-01-06,40841.2,9,Late
LP0000252,L00013,C00633,2026-01-28,2026-01-28,40159.28,0,Paid
LP0000253,L00014,C00201,2025-03-28,2025-03-29,4707.04,1,Paid
LP0000254,L00014,C00201,2025-04-28,2025-05-03,4640.82,5,Paid
LP0000255,L00014,C00201,2025-05-28,2025-06-03,4591.63,6,Late
LP0000256,L00014,C00201,2025-06-28,2025-06-28,4547.9,0,Paid
LP0000257,L00014,C00201,2025-07-28,2025-08-03,4586.91,6,Late
LP0000258,L00014,C00201,2025-08-28,2025-08-30,4729.87,2,Paid
LP0000259,L00014,C00201,2025-09-28,2025-09-29,4752.72,1,Paid
LP0000260,L00014,C00201,2025-10-28,2025-10-28,4631.14,0,Paid
LP0000261,L00014,C00201,2025-11-28,2025-11-29,4639.59,1,Paid
LP0000262,L00014,C00201,2025-12-28,2025-12-28,4655.42,0,Paid
LP0000263,L00014,C00201,2026-01-28,2026-02-04,4774.47,7,Late
LP0000264,L00014,C00201,2026-02-28,2026-03-10,4546.16,10,Late
LP0000265,L00014,C00201,2026-03-28,2026-04-01,4765.82,4,Paid
LP0000266,L00014,C00201,2026-04-28,2026-05-06,4560.91,8,Late
LP0000267,L00014,C00201,2026-05-28,2026-05-31,4738.25,3,Paid
LP0000268,L00014,C00201,2026-06-28,2026-07-03,4745.05,5,Paid
LP0000269,L00014,C00201,2026-07-28,2026-07-31,4775.45,3,Paid
LP0000270,L00014,C00201,2026-08-28,2026-09-04,4740.42,7,Late
LP0000271,L00015,C00161,2026-04-28,2026-05-08,4652.89,10,Late
LP0000272,L00015,C00161,2026-05-28,2026-06-06,4593.23,9,Late
LP0000273,L00015,C00161,2026-06-28,2026-06-30,4611.82,2,Paid
LP0000274,L00015,C00161,2026-07-28,2026-08-07,4723.75,10,Late
LP0000275,L00015,C00161,2026-08-28,2026-09-06,4565.88,9,Late
LP0000276,L00016,C00787,2022-04-28,2022-05-06,9818.62,8,Late
LP0000277,L00016,C00787,2022-05-28,2022-06-04,9863.83,7,Late
LP0000278,L00016,C00787,2022-06-28,2022-06-28,9784.27,0,Paid
LP0000279,L00016,C00787,2022-07-28,2022-08-01,9892.3,4,Paid
LP0000280,L00016,C00787,2022-08-28,2022-09-06,10009.34,9,Late
LP0000281,L00016,C00787,2022-09-28,2022-09-28,9867.02,0,Paid
LP0000282,L00016,C00787,2022-10-28,2022-10-30,9996.99,2,Paid
LP0000283,L00016,C00787,2022-11-28,2022-12-07,9813.65,9,Late
LP0000284,L00016,C00787,2022-12-28,2023-01-06,10137.55,9,Late
LP0000285,L00016,C00787,2023-01-28,2023-02-02,9759.25,5,Paid
LP0000286,L00016,C00787,2023-02-28,2023-03-08,9694.41,8,Late
LP0000287,L00016,C00787,2023-03-28,2023-04-04,9591.46,7,Late
LP0000288,L00016,C00787,2023-04-28,2023-05-08,9661.33,10,Late
LP0000289,L00016,C00787,2023-05-28,2023-05-31,9714.45,3,Paid
LP0000290,L00016,C00787,2023-06-28,2023-06-29,9711.64,1,Paid
LP0000291,L00016,C00787,2023-07-28,2023-07-30,9817.75,2,Paid
LP0000292,L00016,C00787,2023-08-28,2023-09-06,9701.49,9,Late
LP0000293,L00016,C00787,2023-09-28,2023-10-02,9835.3,4,Paid
LP0000294,L00016,C00787,2023-10-28,2023-10-30,9624.0,2,Paid
LP0000295,L00016,C00787,2023-11-28,2023-12-04,10035.21,6,Late
LP0000296,L00016,C00787,2023-12-28,2024-01-05,9756.1,8,Late
LP0000297,L00016,C00787,2024-01-28,2024-02-02,9882.16,5,Paid
LP0000298,L00016,C00787,2024-02-28,2024-02-29,9996.87,1,Paid
LP0000299,L00016,C00787,2024-03-28,2024-04-06,10173.35,9,Late
LP0000300,L00017,C00898,2025-04-28,2025-05-06,11532.74,8,Late
LP0000301,L00017,C00898,2025-05-28,2025-06-07,11799.6,10,Late
LP0000302,L00017,C00898,2025-06-28,2025-06-29,11853.14,1,Paid
LP0000303,L00017,C00898,2025-07-28,2025-08-02,11905.12,5,Paid
LP0000304,L00017,C00898,2025-08-28,2025-08-29,11678.03,1,Paid
LP0000305,L00017,C00898,2025-09-28,2025-10-08,12039.31,10,Late
LP0000306,L00017,C00898,2025-10-28,2025-11-02,11581.93,5,Paid
LP0000307,L00017,C00898,2025-11-28,2025-12-07,11455.96,9,Late
LP0000308,L00017,C00898,2025-12-28,2025-12-31,11832.29,3,Paid
LP0000309,L00017,C00898,2026-01-28,2026-03-04,9888.69,35,Partial
LP0000310,L00017,C00898,2026-02-28,2026-04-11,5999.59,42,Partial
LP0000311,L00017,C00898,2026-03-28,,0,115,Missed
LP0000312,L00017,C00898,2026-04-28,2026-06-27,9047.29,60,Partial
LP0000313,L00017,C00898,2026-05-28,2026-06-27,7151.55,30,Partial
LP0000314,L00017,C00898,2026-06-28,2026-08-10,9025.24,43,Partial
LP0000315,L00017,C00898,2026-07-28,2026-08-24,6456.0,27,Partial
LP0000316,L00017,C00898,2026-08-28,2026-10-08,9349.59,41,Partial
LP0000317,L00018,C00501,2022-12-28,2023-01-01,8336.91,4,Paid
LP0000318,L00018,C00501,2023-01-28,2023-01-30,8299.92,2,Paid
LP0000319,L00018,C00501,2023-02-28,2023-03-10,8249.48,10,Late
LP0000320,L00018,C00501,2023-03-28,2023-04-04,8227.59,7,Late
LP0000321,L00018,C00501,2023-04-28,2023-05-02,8432.77,4,Paid
LP0000322,L00018,C00501,2023-05-28,2023-06-02,8111.31,5,Paid
LP0000323,L00018,C00501,2023-06-28,2023-07-08,8169.92,10,Late
LP0000324,L00018,C00501,2023-07-28,2023-08-05,8217.23,8,Late
LP0000325,L00018,C00501,2023-08-28,2023-08-28,8556.65,0,Paid
LP0000326,L00018,C00501,2023-09-28,2023-09-29,8594.41,1,Paid
LP0000327,L00018,C00501,2023-10-28,2023-11-02,8457.85,5,Paid
LP0000328,L00018,C00501,2023-11-28,2023-11-28,8357.9,0,Paid
LP0000329,L00018,C00501,2023-12-28,2023-12-28,8562.32,0,Paid
LP0000330,L00018,C00501,2024-01-28,2024-02-04,8252.63,7,Late
LP0000331,L00018,C00501,2024-02-28,2024-03-03,8504.34,4,Paid
LP0000332,L00018,C00501,2024-03-28,2024-04-02,8469.96,5,Paid
LP0000333,L00018,C00501,2024-04-28,2024-05-08,8263.81,10,Late
LP0000334,L00018,C00501,2024-05-28,2024-05-29,8420.07,1,Paid
LP0000335,L00018,C00501,2024-06-28,2024-07-03,8359.62,5,Paid
LP0000336,L00018,C00501,2024-07-28,2024-07-29,8095.12,1,Paid
LP0000337,L00018,C00501,2024-08-28,2024-09-07,8372.78,10,Late
LP0000338,L00018,C00501,2024-09-28,2024-10-08,8506.78,10,Late
LP0000339,L00018,C00501,2024-10-28,2024-11-04,8392.04,7,Late
LP0000340,L00018,C00501,2024-11-28,2024-12-02,8221.36,4,Paid
LP0000341,L00019,C00479,2024-11-28,2024-12-04,57367.8,6,Late
LP0000342,L00019,C00479,2024-12-28,2024-12-31,58664.3,3,Paid
LP0000343,L00019,C00479,2025-01-28,2025-02-05,60459.0,8,Late
LP0000344,L00019,C00479,2025-02-28,2025-03-06,57772.06,6,Late
LP0000345,L00019,C00479,2025-03-28,2025-04-03,59862.32,6,Late
LP0000346,L00019,C00479,2025-04-28,2025-05-02,58459.93,4,Paid
LP0000347,L00019,C00479,2025-05-28,2025-06-02,57942.88,5,Paid
LP0000348,L00019,C00479,2025-06-28,2025-07-01,57913.69,3,Paid
LP0000349,L00019,C00479,2025-07-28,2025-08-04,58650.7,7,Late
LP0000350,L00019,C00479,2025-08-28,2025-09-06,58529.72,9,Late
LP0000351,L00019,C00479,2025-09-28,2025-10-01,57788.91,3,Paid
LP0000352,L00019,C00479,2025-10-28,2025-11-04,59125.55,7,Late
LP0000353,L00019,C00479,2025-11-28,2025-11-30,57639.13,2,Paid
LP0000354,L00019,C00479,2025-12-28,2026-01-03,60335.75,6,Late
LP0000355,L00019,C00479,2026-01-28,2026-01-30,58860.15,2,Paid
LP0000356,L00019,C00479,2026-02-28,2026-03-09,60353.38,9,Late
LP0000357,L00019,C00479,2026-03-28,2026-04-02,57089.33,5,Paid
LP0000358,L00019,C00479,2026-04-28,2026-05-01,58799.85,3,Paid
LP0000359,L00019,C00479,2026-05-28,2026-05-31,59027.58,3,Paid
LP0000360,L00019,C00479,2026-06-28,2026-07-08,58848.63,10,Late
LP0000361,L00019,C00479,2026-07-28,2026-08-01,60572.58,4,Paid
LP0000362,L00019,C00479,2026-08-28,2026-08-28,58228.54,0,Paid
