complaint_id,customer_id,branch_id,complaint_date,complaint_type,severity,complaint_status,resolved_date,service_cost
CP000196,C00571,B004,2025-09-13,Card Issue,High,Closed,2025-09-21,467.67
CP000197,C00144,B005,2024-01-13,Charges/Fees,Low,Closed,2024-01-14,237.24
CP000198,C00541,B004,2024-09-14,ATM,Low,Closed,2024-09-21,92.07
CP000199,C00437,B023,2025-10-12,Card Issue,Low,Open,,176.14
CP000200,C00655,B025,2026-03-13,Charges/Fees,High,Closed,2026-03-24,198.48
CP000201,C00627,B013,2025-04-14,Charges/Fees,High,Closed,2025-04-17,602.35
CP000202,C00066,B019,2024-07-17,Charges/Fees,Medium,Closed,2024-07-20,520.64
CP000203,C00844,B023,2024-10-31,Loan Service,Low,Closed,2024-11-01,165.72
CP000204,C00205,B023,2026-06-10,Account Service,High,Closed,2026-07-02,89.25
CP000205,C00115,B008,2026-06-13,Charges/Fees,High,Open,,80.65
CP000206,C00579,B002,2026-05-26,Loan Service,Low,Closed,2026-06-05,610.0
CP000207,C00799,B013,2026-06-12,Account Service,Low,Closed,2026-06-16,92.02
CP000208,C00227,B012,2024-09-17,Loan Service,High,Open,,404.04
CP000209,C00714,B008,2026-05-07,ATM,High,Closed,2026-05-20,291.57
CP000210,C00291,B021,2025-12-29,Charges/Fees,Low,Closed,2026-01-05,513.51
CP000211,C00772,B003,2026-03-21,Loan Service,High,Closed,2026-03-21,77.9
CP000212,C00436,B023,2024-08-04,Unauthorized Transaction,High,Closed,2024-08-22,436.42
CP000213,C00912,B007,2024-04-30,Account Service,High,Closed,2024-05-12,59.69
CP000214,C00282,B005,2025-04-19,Charges/Fees,Medium,Open,,549.96
CP000215,C00903,B011,2024-03-31,Loan Service,Low,Closed,2024-04-09,206.52
CP000216,C00836,B023,2024-03-12,Unauthorized Transaction,High,Open,,539.09
CP000217,C00193,B015,2024-10-08,Account Service,Medium,Open,,605.22
CP000218,C00125,B012,2024-08-28,App/Login,Medium,Closed,2024-08-30,277.75
CP000219,C00734,B015,2024-11-22,ATM,Low,Closed,2024-12-02,698.08
CP000220,C00425,B024,2026-01-16,Charges/Fees,Medium,Closed,2026-01-24,51.8
CP000221,C00318,B010,2025-10-21,Account Service,Low,Open,,262.46
CP000222,C00474,B024,2024-01-22,Loan Service,Medium,Closed,2024-01-22,503.51
CP000223,C00185,B002,2026-05-27,Account Service,High,Closed,2026-06-16,220.97
CP000224,C00216,B005,2024-01-14,Charges/Fees,Medium,Closed,2024-01-23,388.12
CP000225,C00729,B003,2024-06-15,Loan Service,Medium,Closed,2024-06-26,331.06
CP000226,C00693,B008,2025-03-02,App/Login,Low,Closed,2025-03-12,70.4
CP000227,C00052,B001,2026-05-01,Unauthorized Transaction,Medium,Closed,2026-05-13,306.29
CP000228,C00763,B001,2025-12-16,Charges/Fees,High,Open,,178.35
CP000229,C00193,B015,2025-01-25,App/Login,Medium,Closed,2025-01-27,638.95
CP000230,C00123,B013,2024-11-16,Charges/Fees,Medium,Open,,115.84
CP000231,C00075,B022,2025-04-19,Card Issue,Low,Closed,2025-05-01,614.84
CP000232,C00201,B010,2024-01-26,Account Service,Low,Closed,2024-02-01,540.28
CP000233,C00240,B022,2025-07-27,Account Service,Low,Closed,2025-07-28,568.69
CP000234,C00679,B001,2026-04-17,Card Issue,High,Closed,2026-04-19,622.46
CP000235,C00872,B008,2024-04-04,Loan Service,Medium,Closed,2024-04-14,104.73
CP000236,C00892,B013,2025-09-03,Account Service,Medium,Open,,90.82
CP000237,C00280,B017,2024-08-06,Account Service,Low,Open,,185.76
CP000238,C00608,B025,2024-12-14,Account Service,Low,Closed,2024-12-19,365.76
CP000239,C00218,B018,2026-04-06,Card Issue,Low,Closed,2026-04-13,80.64
CP000240,C00617,B015,2024-04-12,ATM,Medium,Closed,2024-04-22,543.46
CP000241,C00185,B002,2025-07-01,ATM,Low,Closed,2025-07-04,313.53
CP000242,C00324,B022,2024-12-29,Unauthorized Transaction,Low,Open,,666.56
CP000243,C00460,B005,2024-07-13,Unauthorized Transaction,Medium,Closed,2024-07-16,446.28
CP000244,C00085,B012,2024-02-18,Loan Service,Medium,Open,,182.79
CP000245,C00933,B016,2026-07-25,Charges/Fees,Low,Closed,2026-08-01,359.28
CP000246,C00379,B001,2026-01-20,ATM,Low,Closed,2026-01-31,367.88
CP000247,C00191,B024,2024-11-27,Loan Service,Medium,Closed,2024-12-03,376.14
CP000248,C00119,B012,2024-08-08,App/Login,High,Closed,2024-08-11,695.66
CP000249,C00093,B008,2024-10-16,Loan Service,High,Closed,2024-10-29,668.46
CP000250,C00048,B016,2024-01-07,Charges/Fees,High,Closed,2024-01-18,182.01
CP000251,C00677,B019,2025-12-09,Loan Service,High,Closed,2026-01-03,505.29
CP000252,C00536,B019,2024-10-25,Card Issue,High,Closed,2024-11-16,687.3
CP000253,C00079,B012,2024-12-28,Account Service,Low,Closed,2025-01-04,257.41
CP000254,C00133,B005,2024-12-27,Unauthorized Transaction,Medium,Closed,2025-01-02,396.49
CP000255,C00693,B008,2025-04-15,Charges/Fees,High,Closed,2025-04-29,653.72
CP000256,C00979,B015,2025-06-13,ATM,Low,Closed,2025-06-21,481.56
CP000257,C00018,B020,2024-10-23,Loan Service,Medium,Closed,2024-10-28,386.88
CP000258,C00421,B021,2024-12-25,Account Service,Low,Closed,2024-12-31,569.49
CP000259,C00294,B020,2025-07-12,Card Issue,High,Closed,2025-07-13,183.03
CP000260,C00895,B015,2024-01-16,ATM,Medium,Closed,2024-01-25,664.58
CP000261,C00978,B018,2026-01-30,Unauthorized Transaction,Medium,Closed,2026-02-07,197.74
CP000262,C00429,B007,2025-01-21,App/Login,Medium,Closed,2025-01-27,559.16
CP000263,C00420,B011,2025-12-10,Card Issue,High,Closed,2025-12-28,652.8
CP000264,C00147,B022,2024-05-06,Account Service,Medium,Closed,2024-05-12,423.65
CP000265,C00242,B025,2024-03-15,Card Issue,Medium,Closed,2024-03-18,565.17
CP000266,C00395,B019,2025-07-25,Loan Service,Medium,Closed,2025-07-25,428.24
CP000267,C00595,B024,2025-03-02,ATM,Medium,Closed,2025-03-12,155.3
CP000268,C00967,B006,2024-07-13,Loan Service,Low,Closed,2024-07-15,521.9
CP000269,C00950,B020,2025-10-09,Loan Service,Low,Closed,2025-10-16,681.89
CP000270,C00612,B020,2026-02-05,Card Issue,Medium,Closed,2026-02-17,340.12
CP000271,C00657,B022,2026-08-19,Account Service,Medium,Closed,2026-08-28,308.91
CP000272,C00511,B016,2025-07-24,Charges/Fees,Critical,Open,,297.32
CP000273,C00169,B008,2025-06-01,Card Issue,Medium,Closed,2025-06-06,545.84
CP000274,C00182,B003,2024-06-14,Account Service,Low,Closed,2024-06-22,88.77
CP000275,C00899,B014,2024-12-19,Loan Service,High,Closed,2025-01-08,262.58
CP000276,C00407,B005,2025-05-22,Card Issue,Low,Closed,2025-05-25,122.21
CP000277,C00715,B025,2026-05-22,Loan Service,Medium,Closed,2026-06-02,151.0
CP000278,C00798,B008,2024-05-24,App/Login,Low,Closed,2024-05-28,659.44
CP000279,C00731,B017,2024-09-21,ATM,Medium,Closed,2024-09-25,528.42
CP000280,C00238,B024,2026-06-20,Loan Service,Low,Closed,2026-06-21,384.79
CP000281,C00659,B005,2024-03-09,ATM,Low,Closed,2024-03-15,55.16
CP000282,C00315,B006,2025-01-27,Loan Service,Low,Closed,2025-01-27,508.75
CP000283,C00471,B017,2024-04-23,Card Issue,Low,Closed,2024-04-30,99.66
CP000284,C00763,B001,2024-03-02,Unauthorized Transaction,Low,Closed,2024-03-11,182.0
CP000285,C00990,B004,2025-10-14,App/Login,Medium,Closed,2025-10-25,404.42
CP000286,C00985,B018,2025-03-08,Unauthorized Transaction,Low,Closed,2025-03-14,521.9
CP000287,C00542,B004,2024-11-14,Unauthorized Transaction,Medium,Open,,145.33
CP000288,C00303,B006,2024-06-30,Unauthorized Transaction,Medium,Closed,2024-07-03,100.17
CP000289,C00689,B008,2025-11-14,Account Service,High,Closed,2025-12-05,462.43
CP000290,C00390,B021,2026-07-07,Account Service,Medium,Closed,2026-07-07,668.51
CP000291,C00323,B017,2024-06-20,Loan Service,High,Open,,160.8
CP000292,C00991,B006,2024-04-03,Account Service,High,Closed,2024-04-09,99.83
CP000293,C00500,B015,2024-02-06,Loan Service,High,Closed,2024-02-13,101.03
CP000294,C00770,B003,2025-06-23,Unauthorized Transaction,High,Open,,275.74
CP000295,C00092,B012,2024-08-30,Charges/Fees,High,Open,,635.7
CP000296,C00900,B019,2025-08-05,Loan Service,Medium,Closed,2025-08-11,421.23
CP000297,C00015,B003,2025-06-27,Charges/Fees,Low,Closed,2025-06-29,471.02
CP000298,C00142,B003,2024-07-05,Account Service,Low,Closed,2024-07-15,307.08
CP000299,C00524,B014,2024-03-11,ATM,Low,Closed,2024-03-16,258.04
CP000300,C00314,B010,2025-10-19,Unauthorized Transaction,High,Open,,599.16
CP000301,C99996,B004,2026-08-04,ATM,Critical,Closed,2026-08-08,829.79
CP000302,C00531,B007,2024-12-24,Account Service,Critical,Closed,2025-01-06,1130.51
CP000303,C00718,B005,2026-04-12,Account Service,High,Closed,2026-04-13,644.87
CP000304,C00152,B007,2025-08-12,Loan Service,High,Closed,2025-08-16,521.76
CP000305,C00875,B011,2026-01-13,Account Service,Medium,Closed,2026-01-21,658.56
CP000306,C00893,B008,2026-07-29,ATM,Low,Closed,2026-08-10,112.73
CP000307,C00803,B007,2026-04-21,Loan Service,High,Closed,2026-05-03,572.69
CP000308,C00745,B007,2025-04-16,Charges/Fees,Low,Closed,2025-04-22,398.49
CP000309,C00606,B007,2024-09-18,Loan Service,High,Closed,2024-10-12,507.29
CP000310,C00252,B019,2025-08-16,App/Login,Low,Closed,2025-08-20,211.1
CP000311,C00698,B010,2024-05-08,ATM,Low,Closed,2024-05-14,120.49
CP000312,C00583,B010,2024-02-20,Charges/Fees,Critical,Closed,2024-03-03,616.15
CP000313,C00667,B019,2026-07-19,Loan Service,High,Closed,2026-08-10,573.06
CP000314,C00299,B014,2025-03-03,Charges/Fees,Low,Closed,2025-03-04,699.01
CP000315,C00704,B003,2025-09-23,Unauthorized Transaction,Medium,Open,,578.49
CP000316,C00132,B005,2024-09-23,Loan Service,Low,Closed,2024-09-24,133.34
CP000317,C00894,B009,2025-02-12,Charges/Fees,Medium,Closed,2025-02-20,520.04
CP000318,C00591,B005,2024-03-30,Account Service,Low,Closed,2024-03-31,252.95
CP000319,C00428,B024,2025-05-18,Charges/Fees,Medium,Closed,2025-05-22,236.3
CP000320,C00635,B005,2026-01-04,Charges/Fees,Medium,Closed,2026-01-08,371.05
CP000321,C00670,B020,2025-09-23,Loan Service,Medium,Closed,2025-09-25,155.36
CP000322,C00664,B012,2024-01-13,ATM,Medium,Closed,2024-01-17,75.94
CP000323,C00947,B006,2025-07-17,Card Issue,High,Closed,2025-07-28,426.7
CP000324,C00154,B016,2026-07-06,Account Service,Medium,Closed,2026-07-13,132.46
CP000325,C00318,B010,2026-05-28,App/Login,High,Closed,2026-06-17,195.18
