login_id,customer_id,login_datetime,device_id,device_type,login_city,ip_address,login_status,failed_attempt_count
LG0000085,C00941,2025-03-15 11:01:35,D00941-1,MacOS,Madurai,10.44.241.238,Success,0
LG0000086,C00070,2025-12-10 05:50:31,D00070-1,iOS,Madurai,10.160.86.146,Success,0
LG0000087,C00447,2025-09-02 09:52:12,D00447-1,MacOS,Pune,10.242.106.191,Success,0
LG0000088,C00413,2025-08-08 21:01:05,D00413-1,Windows,Hyderabad,10.172.105.57,Success,0
LG0000089,C00409,2026-01-20 19:24:49,D00409-1,Windows,Coimbatore,10.7.115.67,Success,0
LG0000090,C00935,2025-04-01 10:49:01,D00935-1,MacOS,Hyderabad,10.166.180.75,Success,0
LG0000091,C00041,2025-01-21 11:21:47,D00041-1,MacOS,Delhi,10.58.95.74,Success,0
LG0000092,C00356,2026-08-04 06:35:28,D00356-1,MacOS,Coimbatore,10.2.247.247,Success,0
LG0000093,C00555,2025-12-08 14:13:52,D00555-1,Windows,Chennai,10.25.186.126,Failed,3
LG0000094,C00224,2025-07-13 06:34:49,D00224-1,MacOS,Mumbai,10.31.22.17,Success,0
LG0000095,C00332,2025-05-19 08:58:46,D00332-1,iOS,Coimbatore,10.154.80.133,Success,0
LG0000096,C00138,2025-04-06 19:29:29,D00138-1,Windows,Kochi,10.108.133.201,Success,0
LG0000097,C00357,2025-04-19 11:22:30,D00357-1,Android,Coimbatore,10.42.76.212,Success,0
LG0000098,C00691,2025-12-05 22:05:40,D00691-1,Windows,Pune,10.130.60.66,Success,0
LG0000099,C00324,2025-03-29 05:41:35,D00324-1,Windows,Bengaluru,10.21.134.237,Success,0
LG0000100,C00855,2025-06-08 04:04:41,D00855-1,Windows,Hyderabad,10.226.112.211,Success,0
LG0000101,C00173,2026-03-27 01:18:52,D00173-2,Windows,Chennai,10.237.195.38,Success,0
LG0000102,C00072,2025-01-12 05:21:41,D00072-1,MacOS,Delhi,10.212.158.190,Success,0
LG0000103,C00915,2026-04-16 04:05:49,D00915-1,Android,Madurai,10.244.30.176,Success,0
LG0000104,C00883,2026-01-11 00:46:37,D00883-1,Android,Bengaluru,10.245.16.15,Success,0
LG0000105,C00931,2026-02-19 02:40:31,D00931-1,Windows,Pune,10.182.103.225,Success,0
LG0000106,C00879,2026-07-28 18:22:06,D00879-1,Android,Hyderabad,10.66.243.89,Success,0
LG0000107,C00998,2025-11-01 15:59:32,D00998-4,Windows,Kolkata,10.208.92.98,Success,0
LG0000108,C00270,2026-04-19 10:43:34,D00270-1,MacOS,Coimbatore,10.22.10.6,Success,0
LG0000109,C00186,2025-02-10 16:40:54,D00186-1,iOS,Kolkata,10.215.167.133,Success,0
LG0000110,C00776,2026-01-07 07:48:24,D00776-1,Android,Kolkata,10.252.170.195,Success,0
LG0000111,C00194,2026-07-11 12:28:51,D00194-1,Android,Kochi,10.185.43.146,Success,0
LG0000112,C00657,2026-02-24 03:49:09,D00657-1,MacOS,Bengaluru,10.228.196.178,Success,0
LG0000113,C00288,2025-02-10 21:53:21,D00288-1,Windows,Bengaluru,10.251.244.251,Failed,1
LG0000114,C00012,2025-10-27 14:41:15,D00012-3,MacOS,Coimbatore,10.122.104.167,Success,0
LG0000115,C00718,2026-01-09 02:47:56,D00718-1,Windows,Delhi,10.42.147.82,Success,0
LG0000116,C00105,2025-01-27 21:30:06,D00105-1,Windows,Pune,10.94.237.3,Success,0
LG0000117,C00494,2025-07-31 14:57:57,D00494-1,Windows,Mumbai,10.157.105.169,Success,0
LG0000118,C00882,2025-05-10 05:19:35,D00882-2,Windows,Delhi,10.93.152.2,Success,0
LG0000119,C00541,2025-12-24 01:02:36,D00541-1,iOS,Madurai,10.75.59.161,Success,0
LG0000120,C00861,2025-09-12 10:22:37,D00861-1,MacOS,Chennai,10.59.65.81,Success,0
LG0000121,C00232,2026-06-15 07:19:05,D00232-1,Windows,Chennai,10.109.139.212,Failed,2
LG0000122,C00788,2026-06-29 05:06:49,D00788-4,MacOS,Pune,10.93.0.94,Success,0
LG0000123,C00659,2025-01-18 11:41:50,D00659-2,MacOS,Coimbatore,10.237.220.214,Success,0
LG0000124,C00663,2025-06-30 23:02:52,D00663-1,iOS,Coimbatore,10.29.28.67,Success,0
LG0000125,C00475,2025-08-15 10:05:17,D00475-1,Android,Mumbai,10.169.71.82,Success,0
LG0000126,C00044,2025-02-16 06:38:21,D00044-1,Android,Coimbatore,10.210.20.127,Success,0
LG0000127,C00017,2026-07-11 19:20:18,D00017-1,Android,Hyderabad,10.242.36.7,Success,0
LG0000128,C00092,2025-03-23 17:07:43,D00092-1,MacOS,Kolkata,10.129.145.49,Success,0
LG0000129,C00631,2026-08-08 13:35:53,D00631-1,Windows,Bengaluru,10.71.100.155,Success,0
LG0000130,C00365,2025-06-28 10:39:30,D00365-1,Windows,Coimbatore,10.150.141.157,Success,0
LG0000131,C00748,2025-03-12 03:51:32,D00748-1,Windows,Madurai,10.197.160.94,Success,0
LG0000132,C00299,2026-03-24 05:24:47,D00299-1,iOS,Kolkata,10.150.252.125,Success,0
LG0000133,C00604,2025-03-01 18:13:35,D00604-1,Android,Mumbai,10.214.9.182,Success,0
LG0000134,C00835,2026-06-19 03:10:19,D00835-1,Windows,Mumbai,10.249.95.110,Success,0
LG0000135,C00098,2025-12-15 12:06:01,D00098-1,Windows,Hyderabad,10.135.14.41,Success,0
LG0000136,C00226,2025-01-06 18:33:32,D00226-1,Android,Kolkata,10.72.212.102,Success,0
LG0000137,C00857,2025-05-14 10:01:27,D00857-1,MacOS,Hyderabad,10.46.215.114,Success,0
LG0000138,C00634,2025-05-11 12:19:22,D00634-1,MacOS,Coimbatore,10.48.0.99,Success,0
LG0000139,C00685,2025-08-12 22:07:04,D00685-1,Android,Delhi,10.17.29.203,Success,0
LG0000140,C00825,2025-09-06 02:10:45,D00825-1,Windows,Bengaluru,10.50.41.228,Success,0
LG0000141,C00009,2025-12-11 02:51:37,D00009-1,Android,Chennai,10.166.26.185,Success,0
LG0000142,C00535,2025-04-27 15:11:07,D00535-1,Android,Bengaluru,10.115.55.166,Success,0
LG0000143,C00255,2025-04-12 08:36:32,D00255-1,Windows,Delhi,10.179.68.138,Success,0
LG0000144,C00857,2025-09-14 22:48:10,D00857-1,iOS,Hyderabad,10.143.41.191,Failed,1
LG0000145,C00712,2025-06-30 07:12:20,D00712-1,Windows,Bengaluru,10.239.246.197,Success,0
LG0000146,C00705,2026-05-27 02:18:26,D00705-1,Android,Kolkata,10.170.146.186,Success,0
LG0000147,C00283,2025-04-24 22:13:12,D00283-1,Android,Kolkata,10.80.192.171,Success,0
LG0000148,C00159,2025-11-02 20:07:06,D00159-1,Android,Hyderabad,10.75.208.200,Success,0
LG0000149,C00858,2025-12-22 10:01:20,D00858-1,Android,Delhi,10.198.19.116,Success,0
LG0000150,C00752,2026-07-24 12:37:46,D00752-1,Windows,Chennai,10.255.173.208,Success,0
LG0000151,C00802,2026-08-29 09:01:46,D00802-1,MacOS,Kolkata,10.195.84.191,Success,0
LG0000152,C00225,2025-12-29 18:14:21,D00225-2,iOS,Kolkata,10.131.252.229,Success,0
LG0000153,C00217,2025-12-05 23:58:34,D00217-1,iOS,Bengaluru,10.149.143.125,Success,0
LG0000154,C00843,2026-01-05 07:36:48,D00843-1,Android,Bengaluru,10.170.149.61,Success,0
LG0000155,C00544,2025-07-14 00:01:32,D00544-1,iOS,Madurai,10.145.19.113,Success,0
LG0000156,C00466,2026-02-18 19:06:13,D00466-1,iOS,Chennai,10.117.197.245,Success,0
LG0000157,C00170,2026-01-20 21:43:21,D00170-1,iOS,Chennai,10.162.203.70,Failed,1
LG0000158,C00697,2025-11-05 12:26:04,D00697-1,Android,Coimbatore,10.32.117.35,Failed,4
LG0000159,C00623,2026-03-12 15:13:54,D00623-1,iOS,Mumbai,10.1.218.37,Success,0
LG0000160,C00819,2026-03-30 12:08:09,D00819-3,Android,Madurai,10.118.173.124,Success,0
LG0000161,C00984,2025-05-21 00:02:32,D00984-1,Windows,Madurai,10.246.2.185,Success,0
LG0000162,C00542,2025-12-16 20:43:46,D00542-1,Windows,Mumbai,10.138.76.44,Success,0
LG0000163,C00285,2025-04-01 05:16:56,D00285-1,iOS,Pune,10.226.165.247,Success,0
LG0000164,C00728,2025-09-27 21:30:46,D00728-1,Android,Madurai,10.140.132.167,Success,0
LG0000165,C00017,2026-08-25 14:50:39,D00017-1,iOS,Hyderabad,10.208.47.116,Success,0
LG0000166,C00862,2026-06-27 05:33:43,D00862-2,MacOS,Hyderabad,10.207.177.105,Success,0
LG0000167,C00204,2025-10-04 14:41:14,D00204-1,Android,Kolkata,10.214.230.115,Success,0
LG0000168,C00246,2025-06-26 22:59:54,D00246-1,MacOS,Bengaluru,10.75.54.227,Failed,4
LG0000169,C00530,2025-06-24 17:04:22,D00530-1,iOS,Hyderabad,10.100.2.144,Success,0
LG0000170,C00355,2026-03-27 02:15:28,D00355-1,iOS,Mumbai,10.35.226.143,Success,0
LG0000171,C00322,2026-01-04 03:55:17,D00322-1,Windows,Hyderabad,10.152.243.29,Success,0
LG0000172,C00748,2025-01-18 02:03:06,D00748-1,MacOS,Madurai,10.57.141.88,Success,0
LG0000173,C00016,2025-11-09 02:32:57,D00016-1,iOS,Hyderabad,10.69.18.46,Success,0
LG0000174,C00695,2025-08-30 09:17:54,D00695-1,Android,Kolkata,10.23.179.212,Success,0
LG0000175,C00474,2026-01-22 11:20:25,D00474-1,iOS,Kolkata,10.148.234.253,Success,0
LG0000176,C00190,2025-07-25 02:14:45,D00190-1,iOS,Hyderabad,10.73.18.196,Success,0
LG0000177,C00640,2025-03-29 08:06:00,D00640-1,MacOS,Coimbatore,10.42.14.89,Success,0
LG0000178,C00471,2026-03-26 23:17:54,D00471-1,Windows,Hyderabad,10.129.211.83,Success,0
LG0000179,C00207,2025-09-29 20:01:15,D00207-1,Windows,Kochi,10.23.68.28,Success,0
LG0000180,C00286,2025-09-28 14:42:03,D00286-3,iOS,Kochi,10.45.125.190,Success,0
LG0000181,C00992,2025-07-31 02:24:32,D00992-1,MacOS,Pune,10.71.237.127,Success,0
LG0000182,C00727,2025-02-01 07:18:54,D00727-1,Android,Kolkata,10.6.52.193,Success,0
LG0000183,C00566,2025-01-02 04:31:47,D00566-1,MacOS,Mumbai,10.115.43.10,Failed,1
LG0000184,C00231,2025-05-04 10:57:40,D00231-1,Android,Chennai,10.38.171.107,Success,0
LG0000185,C00367,2026-01-28 01:09:13,D00367-4,MacOS,Pune,10.66.209.68,Success,0
LG0000186,C00597,2026-02-11 15:11:14,D00597-1,iOS,Madurai,10.178.214.149,Success,0
LG0000187,C00115,2025-03-03 04:36:46,D00115-1,MacOS,Madurai,10.137.242.8,Success,0
LG0000188,C00414,2025-06-18 09:43:31,D00414-1,Android,Delhi,10.114.22.2,Success,0
LG0000189,C00818,2026-07-15 04:42:42,D00818-1,iOS,Kolkata,10.40.93.9,Success,0
LG0000190,C00751,2025-01-02 07:04:27,D00751-1,iOS,Kolkata,10.162.17.88,Success,0
LG0000191,C00012,2026-06-01 11:52:08,D00012-1,iOS,Coimbatore,10.186.105.127,Success,0
LG0000192,C00803,2025-03-12 14:34:01,D00803-1,iOS,Hyderabad,10.177.139.24,Success,0
LG0000193,C00535,2025-01-23 15:03:56,D00535-1,MacOS,Bengaluru,10.212.67.237,Success,0
LG0000194,C00414,2025-12-30 23:24:31,D00414-1,Windows,Delhi,10.1.236.197,Success,0
LG0000195,C00660,2026-03-24 09:56:57,D00660-2,Windows,Kochi,10.58.194.21,Success,0
LG0000196,C00205,2026-08-05 01:13:30,D00205-1,Android,Kochi,10.188.36.56,Success,0
LG0000197,C00263,2025-12-31 21:06:55,D00263-2,Windows,Hyderabad,10.92.129.186,Success,0
LG0000198,C00727,2025-06-17 23:27:31,D00727-1,MacOS,Kolkata,10.255.190.142,Success,0
LG0000199,C00961,2025-12-26 03:22:28,D00961-1,Windows,Pune,10.125.34.101,Success,0
LG0000200,C01000,2025-07-29 17:02:11,D01000-3,iOS,Hyderabad,10.174.182.234,Success,0
LG0000201,C00754,2025-11-10 14:52:50,D00754-1,Windows,Delhi,10.197.42.67,Success,0
LG0000202,C00282,2025-01-31 00:58:09,D00282-1,Android,Hyderabad,10.148.4.157,Success,0
LG0000203,C00531,2026-07-21 17:15:36,D00531-1,iOS,Bengaluru,10.80.79.105,Success,0
LG0000204,C00568,2025-02-24 19:30:40,D00568-1,Android,Hyderabad,10.155.31.86,Success,0
LG0000205,C00365,2026-06-08 08:54:36,D00365-1,iOS,Coimbatore,10.208.139.31,Success,0
LG0000206,C00659,2026-08-05 15:15:35,D00659-1,iOS,Coimbatore,10.65.140.182,Success,0
LG0000207,C00556,2025-03-20 19:34:56,D00556-1,MacOS,Kochi,10.241.94.81,Success,0
LG0000208,C00354,2025-04-30 23:52:02,D00354-1,Windows,Coimbatore,10.137.143.1,Success,0
LG0000209,C00028,2026-08-18 18:39:07,D00028-1,Windows,Mumbai,10.253.19.7,Success,0
LG0000210,C00325,2026-04-02 00:15:18,D00325-1,Windows,Coimbatore,10.38.242.80,Success,0
LG0000211,C00619,2025-01-06 10:31:54,D00619-1,MacOS,Kolkata,10.225.92.86,Success,0
LG0000212,C00405,2026-01-15 11:58:40,D00405-1,Windows,Kochi,10.82.52.70,Success,0
LG0000213,C00854,2025-02-01 03:42:32,D00854-1,MacOS,Hyderabad,10.103.64.188,Success,0
LG0000214,C00315,2025-09-05 19:14:29,D00315-1,Android,Chennai,10.66.72.133,Success,0
LG0000215,C00144,2026-05-06 03:07:43,D00144-1,iOS,Mumbai,10.153.136.225,Success,0
LG0000216,C00953,2026-08-31 10:54:49,D00953-1,Android,Delhi,10.179.241.74,Failed,6
LG0000217,C00398,2026-07-14 03:39:55,D00398-1,Windows,Delhi,10.4.53.117,Success,0
LG0000218,C00591,2025-07-28 13:30:42,D00591-1,Windows,Hyderabad,10.33.198.240,Success,0
LG0000219,C00799,2026-07-29 22:31:33,D00799-1,Android,Madurai,10.26.61.141,Success,0
LG0000220,C00529,2026-01-02 16:16:16,D00529-1,Windows,Hyderabad,10.42.193.27,Success,0
LG0000221,C00760,2025-02-20 17:44:26,D00760-1,Windows,Pune,10.19.48.13,Success,0
LG0000222,C00112,2025-06-08 23:51:01,D00112-1,MacOS,Madurai,10.74.175.26,Success,0
LG0000223,C00212,2026-03-26 04:46:42,D00212-1,Windows,Bengaluru,10.129.172.55,Success,0
LG0000224,C00636,2025-06-18 04:21:38,D00636-1,Windows,Chennai,10.255.99.44,Success,0
LG0000225,C00454,2026-01-26 19:36:47,D00454-1,Windows,Delhi,10.66.50.85,Success,0
LG0000226,C00828,2026-05-29 17:08:08,D00828-1,iOS,Bengaluru,10.27.116.45,Success,0
LG0000227,C00629,2025-09-26 12:04:42,D00629-1,Android,Mumbai,10.125.182.88,Success,0
LG0000228,C01000,2025-01-21 16:17:29,D01000-1,Windows,Hyderabad,10.1.109.158,Success,0
LG0000229,C00637,2025-04-24 01:42:08,D00637-1,Android,Madurai,10.96.221.208,Success,0
LG0000230,C00706,2025-02-19 10:32:33,D00706-1,Android,Delhi,10.204.219.165,Success,0
LG0000231,C00869,2026-03-29 10:12:22,D00869-1,Windows,Madurai,10.91.145.183,Success,0
LG0000232,C00750,2025-06-16 23:34:56,D00750-1,MacOS,Pune,10.96.195.84,Success,0
LG0000233,C00158,2025-10-27 14:25:00,D00158-1,MacOS,Delhi,10.64.169.65,Success,0
LG0000234,C00516,2026-06-27 10:08:12,D00516-1,Android,Chennai,10.228.54.139,Success,0
LG0000235,C00170,2025-09-29 15:03:45,D00170-1,iOS,Bengaluru,10.195.49.87,Success,0
LG0000236,C00039,2025-03-07 22:43:10,D00039-1,Windows,Kolkata,10.147.246.129,Failed,2
LG0000237,C00277,2025-06-29 11:49:45,D00277-1,Windows,Madurai,10.149.220.27,Success,0
LG0000238,C00920,2025-06-19 15:56:22,D00920-1,MacOS,Delhi,10.214.61.184,Success,0
LG0000239,C00669,2026-01-07 01:19:06,D00669-1,Windows,Mumbai,10.105.53.41,Failed,6
LG0000240,C00969,2026-02-24 02:14:52,D00969-1,iOS,Kolkata,10.112.248.241,Success,0
LG0000241,C00440,2025-04-11 19:34:07,D00440-2,Android,Coimbatore,10.89.129.27,Success,0
LG0000242,C00234,2026-01-15 21:37:08,D00234-1,MacOS,Delhi,10.78.97.139,Success,0
LG0000243,C00929,2025-03-03 13:30:39,D00929-1,iOS,Bengaluru,10.209.190.1,Success,0
LG0000244,C00068,2026-05-27 11:19:37,D00068-1,Android,Madurai,10.98.249.196,Success,0
LG0000245,C00079,2025-11-19 23:23:07,D00079-1,Windows,Chennai,10.153.118.45,Success,0
LG0000246,C00628,2026-07-06 09:24:02,D00628-1,Android,Mumbai,10.124.32.166,Success,0
LG0000247,C00515,2026-02-09 04:33:17,D00515-1,MacOS,Coimbatore,10.163.128.93,Success,0
LG0000248,C00932,2026-08-27 12:05:33,D00932-1,iOS,Delhi,10.3.221.123,Success,0
LG0000249,C00583,2026-05-24 06:15:20,D00583-1,Android,Coimbatore,10.250.116.60,Success,0
LG0000250,C00915,2025-10-26 04:36:44,D00915-1,Windows,Madurai,10.208.13.2,Success,0
LG0000251,C00338,2025-08-01 23:52:55,D00338-1,iOS,Delhi,10.202.44.213,Success,0
LG0000252,C00439,2026-06-09 14:24:45,D00439-1,MacOS,Hyderabad,10.189.235.246,Success,0
LG0000253,C00074,2026-02-04 05:43:13,D00074-1,Android,Hyderabad,10.112.161.67,Success,0
LG0000254,C00401,2025-12-11 12:42:34,D00401-1,Windows,Delhi,10.243.232.192,Success,0
LG0000255,C00643,2025-10-21 16:53:22,D00643-2,iOS,Kolkata,10.162.14.191,Success,0
LG0000256,C00988,2026-01-07 03:25:57,D00988-2,Windows,Mumbai,10.242.129.145,Success,0
LG0000257,C00408,2025-09-05 11:50:11,D00408-1,MacOS,Kolkata,10.123.197.203,Success,0
LG0000258,C00342,2026-01-10 20:16:59,D00342-1,MacOS,Pune,10.79.7.92,Success,0
LG0000259,C00736,2025-10-21 19:28:08,D00736-1,iOS,Kolkata,10.139.160.10,Success,0
LG0000260,C00876,2025-02-12 20:34:48,D00876-1,Android,Madurai,10.47.56.90,Success,0
LG0000261,C00468,2025-04-11 23:43:47,D00468-1,Windows,Coimbatore,10.52.247.101,Success,0
LG0000262,C00461,2025-11-20 21:12:17,D00461-1,MacOS,Delhi,10.29.155.131,Success,0
LG0000263,C00252,2025-04-11 01:47:30,D00252-1,MacOS,Mumbai,10.183.38.54,Success,0
LG0000264,C00732,2026-07-19 00:36:23,D00732-1,Windows,Kochi,10.104.231.164,Success,0
LG0000265,C00635,2026-03-02 04:18:55,D00635-2,iOS,Pune,10.179.219.97,Failed,2
LG0000266,C00146,2025-06-13 07:23:20,D00146-1,Android,Mumbai,10.31.227.242,Success,0
LG0000267,C00043,2025-12-29 11:01:08,D00043-1,MacOS,Delhi,10.34.142.23,Success,0
LG0000268,C00039,2025-09-21 12:20:56,D00039-1,iOS,Kolkata,10.136.109.24,Success,0
