transaction_id,account_id,customer_id,branch_id,transaction_datetime,transaction_type,transaction_amount,currency,channel,merchant_category,transaction_city,device_id,transaction_status,fee_amount,operational_cost,fraud_confirmed,previous_transaction_time,minutes_since_previous
T00026084,A000409,C00287,B009,2026-03-30 17:25:00,Debit,58066.44,INR,Net Banking,Transfer,Kolkata,D00287-1,Failed,0.0,10.0,Yes,2026-03-30 17:22:00,3.0
T00006857,A000511,C00356,B007,2024-11-11 04:59:32,Debit,22757.57,INR,Net Banking,Electronics,Coimbatore,D00356-1,Success,16.11,10.47,No,2024-11-11 04:55:36,3.933333333333333
T00001913,A000550,C00385,B005,2026-06-29 10:53:49,Debit,1580.16,INR,Card,Fuel,Pune,D00385-1,Success,22.24,10.32,No,2026-06-29 10:46:01,7.8
T00026067,A000651,C00452,B023,2026-07-17 11:10:00,Debit,25098.06,INR,Net Banking,Transfer,Kolkata,D00452-1,Failed,0.0,10.0,No,2026-07-17 11:07:00,3.0
T00026068,A000651,C00452,B023,2026-07-17 11:13:00,Debit,43758.05,INR,Net Banking,Transfer,Kolkata,D00452-1,Failed,0.0,10.0,No,2026-07-17 11:10:00,3.0
T00026069,A000651,C00452,B023,2026-07-17 11:16:00,Debit,11519.04,INR,Net Banking,Transfer,Kolkata,D00452-1,Failed,0.0,10.0,Yes,2026-07-17 11:13:00,3.0
T00026070,A000651,C00452,B023,2026-07-17 11:19:00,Debit,19226.21,INR,Net Banking,Transfer,Kolkata,D00452-1,Failed,0.0,10.0,Yes,2026-07-17 11:16:00,3.0
T00026076,A000662,C00458,B020,2026-02-23 18:14:00,Debit,54178.21,INR,Net Banking,Transfer,Bengaluru,D00458-1,Failed,0.0,10.0,No,2026-02-23 18:11:00,3.0
T00026077,A000662,C00458,B020,2026-02-23 18:17:00,Debit,58286.3,INR,Net Banking,Transfer,Bengaluru,D00458-1,Failed,0.0,10.0,No,2026-02-23 18:14:00,3.0
T00026078,A000662,C00458,B020,2026-02-23 18:20:00,Debit,32055.8,INR,Net Banking,Transfer,Bengaluru,D00458-1,Failed,0.0,10.0,Yes,2026-02-23 18:17:00,3.0
T00026079,A000662,C00458,B020,2026-02-23 18:23:00,Debit,42813.51,INR,Net Banking,Transfer,Bengaluru,D00458-1,Failed,0.0,10.0,Yes,2026-02-23 18:20:00,3.0
T00011240,A000675,C00468,B022,2026-08-10 07:21:20,Debit,1020.24,INR,ATM,Grocery,Coimbatore,D00468-1,Success,30.82,10.82,No,2026-08-10 07:17:47,3.55
T00026113,A000685,C00476,B022,2026-01-30 12:13:00,Debit,55001.02,INR,Card,Electronics,Kolkata,D00476-1,Success,25.0,15.0,Yes,2026-01-30 12:11:00,2.0
T00026114,A000685,C00476,B022,2026-01-30 12:15:00,Debit,18041.62,INR,Card,Electronics,Kolkata,D00476-1,Success,25.0,15.0,Yes,2026-01-30 12:13:00,2.0
T00026115,A000685,C00476,B022,2026-01-30 12:17:00,Debit,33706.22,INR,Card,Electronics,Kolkata,D00476-1,Success,25.0,15.0,Yes,2026-01-30 12:15:00,2.0
T00026116,A000685,C00476,B022,2026-01-30 12:19:00,Debit,33000.6,INR,Card,Electronics,Kolkata,D00476-1,Success,25.0,15.0,Yes,2026-01-30 12:17:00,2.0
T00026117,A000685,C00476,B022,2026-01-30 12:21:00,Debit,21144.82,INR,Card,Electronics,Kolkata,D00476-1,Success,25.0,15.0,Yes,2026-01-30 12:19:00,2.0
T00002802,A000749,C00517,B006,2025-11-19 13:58:53,Debit,1150.15,INR,UPI,Grocery,Bengaluru,D00517-1,Success,8.66,26.81,No,2025-11-19 13:51:41,7.2
T00025534,A000778,C00539,B011,2026-06-03 09:33:43,Debit,4028.03,INR,Mobile Banking,Electronics,Madurai,D00539-1,Success,12.94,26.39,No,2026-06-03 09:26:07,7.6
T00026108,A000811,C00562,B003,2026-08-21 04:45:00,Debit,29274.68,INR,Net Banking,Transfer,Chennai,D00562-1,Failed,0.0,10.0,No,2026-08-21 04:42:00,3.0
T00026109,A000811,C00562,B003,2026-08-21 04:48:00,Debit,17468.31,INR,Net Banking,Transfer,Chennai,D00562-1,Failed,0.0,10.0,No,2026-08-21 04:45:00,3.0
T00026110,A000811,C00562,B003,2026-08-21 04:51:00,Debit,20599.53,INR,Net Banking,Transfer,Chennai,D00562-1,Failed,0.0,10.0,Yes,2026-08-21 04:48:00,3.0
T00026111,A000811,C00562,B003,2026-08-21 04:54:00,Debit,11214.82,INR,Net Banking,Transfer,Chennai,D00562-1,Failed,0.0,10.0,Yes,2026-08-21 04:51:00,3.0
T00018755,A000816,C00564,B008,2026-06-29 08:48:59,Credit,37775.68,INR,UPI,Electronics,Pune,D00564-1,Success,6.35,29.03,No,2026-06-29 08:45:53,3.1
T00021221,A000949,C00662,B012,2026-03-15 09:54:31,Debit,1304.79,INR,UPI,ATM,Delhi,D00662-1,Failed,19.51,9.27,No,2026-03-15 09:45:41,8.833333333333334
T00008378,A000967,C00679,B001,2025-08-13 03:08:42,Debit,2490.9,INR,Card,Electronics,Pune,D00679-1,Success,3.52,11.83,No,2025-08-13 03:07:34,1.1333333333333333
T00026029,A001038,C00728,B016,2026-04-16 20:09:00,Debit,77361.28,INR,Net Banking,Transfer,Madurai,D00728-1,Failed,0.0,10.0,No,2026-04-16 20:06:00,3.0
T00026030,A001038,C00728,B016,2026-04-16 20:12:00,Debit,26767.96,INR,Net Banking,Transfer,Madurai,D00728-1,Failed,0.0,10.0,No,2026-04-16 20:09:00,3.0
T00026031,A001038,C00728,B016,2026-04-16 20:15:00,Debit,18642.2,INR,Net Banking,Transfer,Madurai,D00728-1,Failed,0.0,10.0,Yes,2026-04-16 20:12:00,3.0
T00026032,A001038,C00728,B016,2026-04-16 20:18:00,Debit,25909.08,INR,Net Banking,Transfer,Madurai,D00728-1,Failed,0.0,10.0,Yes,2026-04-16 20:15:00,3.0
T00022997,A001043,C00733,B020,2024-11-06 19:36:17,Debit,10352.28,INR,ATM,Transfer,Chennai,D00733-1,Success,34.67,8.6,No,2024-11-06 19:27:49,8.466666666666667
T00000251,A001099,C00770,B003,2026-03-09 18:06:35,Credit,5516.1,INR,Card,Dining,Mumbai,D00770-1,Success,32.95,18.35,No,2026-03-09 18:06:35,0.0
T00026089,A001119,C00780,B013,2026-08-19 18:41:00,Debit,17399.37,INR,Net Banking,Transfer,Coimbatore,D00780-1,Failed,0.0,10.0,No,2026-08-19 18:38:00,3.0
T00026090,A001119,C00780,B013,2026-08-19 18:44:00,Debit,49038.67,INR,Net Banking,Transfer,Coimbatore,D00780-1,Failed,0.0,10.0,No,2026-08-19 18:41:00,3.0
T00026091,A001119,C00780,B013,2026-08-19 18:47:00,Debit,55099.07,INR,Net Banking,Transfer,Coimbatore,D00780-1,Failed,0.0,10.0,Yes,2026-08-19 18:44:00,3.0
T00026092,A001119,C00780,B013,2026-08-19 18:50:00,Debit,67374.62,INR,Net Banking,Transfer,Coimbatore,D00780-1,Failed,0.0,10.0,Yes,2026-08-19 18:47:00,3.0
T00026149,A001138,C00793,B005,2026-05-22 20:39:00,Debit,20211.92,INR,Card,Electronics,Mumbai,D00793-1,Success,25.0,15.0,Yes,2026-05-22 20:37:00,2.0
T00026150,A001138,C00793,B005,2026-05-22 20:41:00,Debit,40244.24,INR,Card,Electronics,Mumbai,D00793-1,Success,25.0,15.0,Yes,2026-05-22 20:39:00,2.0
T00026151,A001138,C00793,B005,2026-05-22 20:43:00,Debit,26966.52,INR,Card,Electronics,Mumbai,D00793-1,Success,25.0,15.0,Yes,2026-05-22 20:41:00,2.0
T00026152,A001138,C00793,B005,2026-05-22 20:45:00,Debit,31456.32,INR,Card,Electronics,Mumbai,D00793-1,Success,25.0,15.0,Yes,2026-05-22 20:43:00,2.0
T00026153,A001138,C00793,B005,2026-05-22 20:47:00,Debit,31585.52,INR,Card,Electronics,Mumbai,D00793-1,Success,25.0,15.0,Yes,2026-05-22 20:45:00,2.0
T00016131,A001147,C00800,B009,2025-12-12 00:00:25,Credit,9183.59,USD,ATM,Dining,Pune,D00800-1,Success,31.21,18.81,No,2025-12-11 23:52:36,7.816666666666666
T00026012,A001174,C00819,B006,2025-08-28 19:08:00,Debit,51973.06,INR,Card,Electronics,Madurai,D00819-1,Success,25.0,15.0,Yes,2025-08-28 19:06:00,2.0
T00026013,A001174,C00819,B006,2025-08-28 19:10:00,Debit,32090.16,INR,Card,Electronics,Madurai,D00819-1,Success,25.0,15.0,Yes,2025-08-28 19:08:00,2.0
T00026014,A001174,C00819,B006,2025-08-28 19:12:00,Debit,55599.71,INR,Card,Electronics,Madurai,D00819-1,Success,25.0,15.0,Yes,2025-08-28 19:10:00,2.0
T00026015,A001174,C00819,B006,2025-08-28 19:14:00,Debit,20329.0,INR,Card,Electronics,Madurai,D00819-1,Success,25.0,15.0,Yes,2025-08-28 19:12:00,2.0
T00026016,A001174,C00819,B006,2025-08-28 19:16:00,Debit,19217.38,INR,Card,Electronics,Madurai,D00819-1,Success,25.0,15.0,Yes,2025-08-28 19:14:00,2.0
T00023481,A001238,C00862,B019,2026-07-11 02:40:48,Debit,19170.94,INR,UPI,Healthcare,Hyderabad,D00862-1,Success,16.73,21.27,No,2026-07-11 02:38:40,2.1333333333333333
T00026050,A001364,C00950,B020,2025-12-13 01:10:00,Debit,44762.15,INR,Card,Electronics,Hyderabad,D00950-1,Success,25.0,15.0,Yes,2025-12-13 01:08:00,2.0
T00026051,A001364,C00950,B020,2025-12-13 01:12:00,Debit,49295.77,INR,Card,Electronics,Hyderabad,D00950-1,Success,25.0,15.0,Yes,2025-12-13 01:10:00,2.0
T00026052,A001364,C00950,B020,2025-12-13 01:14:00,Debit,53372.7,INR,Card,Electronics,Hyderabad,D00950-1,Success,25.0,15.0,Yes,2025-12-13 01:12:00,2.0
T00026053,A001364,C00950,B020,2025-12-13 01:16:00,Debit,61242.24,INR,Card,Electronics,Hyderabad,D00950-1,Success,25.0,15.0,Yes,2025-12-13 01:14:00,2.0
T00026054,A001364,C00950,B020,2025-12-13 01:18:00,Debit,26646.57,INR,Card,Electronics,Hyderabad,D00950-1,Success,25.0,15.0,Yes,2025-12-13 01:16:00,2.0
T00026045,A001384,C00962,B015,2026-08-23 13:39:00,Debit,29613.28,INR,Net Banking,Transfer,Pune,D00962-1,Failed,0.0,10.0,No,2026-08-23 13:36:00,3.0
T00026046,A001384,C00962,B015,2026-08-23 13:42:00,Debit,37838.49,INR,Net Banking,Transfer,Pune,D00962-1,Failed,0.0,10.0,No,2026-08-23 13:39:00,3.0
T00026047,A001384,C00962,B015,2026-08-23 13:45:00,Debit,38240.3,INR,Net Banking,Transfer,Pune,D00962-1,Failed,0.0,10.0,Yes,2026-08-23 13:42:00,3.0
T00026048,A001384,C00962,B015,2026-08-23 13:48:00,Debit,11939.96,INR,Net Banking,Transfer,Pune,D00962-1,Failed,0.0,10.0,Yes,2026-08-23 13:45:00,3.0
