transaction_id,account_id,customer_id,branch_id,transaction_datetime,transaction_type,transaction_amount,currency,channel,merchant_category,transaction_city,device_id,transaction_status,fee_amount,operational_cost,fraud_confirmed
T00000134,A000035,C00025,B014,2025-06-21 16:54:10,Debit,37030.35,INR,Card,ATM,Hyderabad,D00025-1,Success,8.6,19.74,No
T00000151,A001175,C00819,B006,2025-06-15 23:39:53,Credit,22318.5,INR,ATM,Dining,Madurai,D00819-1,Success,23.44,29.77,No
T00000152,A000905,C00628,B006,2025-04-21 03:24:12,Debit,26732.69,INR,UPI,Utilities,Mumbai,D00628-1,Success,4.98,22.6,No
T00000156,A001124,C00783,B006,2025-06-22 05:54:00,Credit,93146.25,INR,UPI,E-Commerce,Chennai,D00783-1,Success,13.6,15.09,No
T00000173,A000275,C00191,B024,2024-02-23 03:14:18,Debit,38460.78,INR,UPI,Grocery,Kochi,D00191-1,Success,5.15,18.58,No
T00000184,A000709,C00493,B008,2026-06-13 16:23:15,Credit,20279.52,INR,Mobile Banking,Travel,Mumbai,D00493-1,Success,17.77,23.97,No
T00000201,A000157,C00102,B009,2025-10-06 04:10:05,Debit,28122.4,INR,UPI,Utilities,Pune,D00102-1,Success,12.26,5.57,No
T00000209,A001353,C00942,B021,2026-04-27 09:30:21,Credit,21810.71,INR,UPI,Utilities,Kochi,D00942-1,Success,6.7,20.11,No
T00000210,A000554,C00389,B016,2026-05-13 01:40:59,Debit,22359.84,INR,Net Banking,ATM,Madurai,D00389-1,Success,12.99,14.61,No
T00000211,A000174,C00114,B023,2025-11-21 00:28:53,Debit,21848.13,INR,Card,E-Commerce,Hyderabad,D00114-1,Success,2.5,25.83,No
T00000232,A001039,C00729,B003,2024-03-28 16:50:32,Credit,19885.27,USD,Mobile Banking,E-Commerce,Pune,D00729-1,Success,2.71,28.66,No
T00000258,A000255,C00175,B013,2026-07-19 04:52:15,Debit,36712.35,INR,Card,Dining,Chennai,D00175-1,Failed,31.18,24.28,No
T00000273,A000049,C00034,B008,2025-05-22 04:02:05,Debit,27673.92,INR,Mobile Banking,Electronics,Delhi,D00034-1,Success,22.08,23.69,No
T00000284,A000175,C00115,B008,2024-01-22 21:39:58,Credit,23014.23,INR,Card,ATM,Madurai,D00115-1,Failed,6.0,5.54,No
T00000287,A000494,C00346,B015,2024-04-15 01:03:38,Debit,27060.82,USD,Mobile Banking,Electronics,Mumbai,D00346-1,Success,32.02,12.74,No
T00000305,A000183,C00121,B015,2026-03-08 06:11:15,Debit,23468.04,INR,Card,Grocery,Chennai,D00121-1,Success,32.51,14.02,No
T00000315,A000624,C00435,B006,2026-06-27 03:39:58,Debit,21910.96,INR,UPI,Transfer,Hyderabad,D00435-1,Success,1.34,12.75,No
T00000346,A000059,C00041,B004,2026-05-24 06:22:39,Debit,22749.67,USD,Net Banking,Grocery,Delhi,D00041-1,Success,1.06,18.76,No
T00000351,A000097,C00060,B016,2025-02-22 06:55:28,Debit,21960.0,INR,UPI,E-Commerce,Coimbatore,D00060-1,Success,32.63,24.78,No
T00000353,A000841,C00586,B015,2025-10-12 09:44:53,Debit,20372.3,INR,ATM,Fuel,Hyderabad,D00586-1,Success,2.16,3.23,No
T00000354,A000279,C00194,B020,2025-11-16 13:35:38,Debit,20173.14,INR,Net Banking,Fuel,Kochi,D00194-1,Success,9.57,18.67,No
T00000363,A000995,C00697,B005,2026-05-13 17:11:04,Debit,21106.91,INR,Net Banking,Grocery,Coimbatore,D00697-1,Success,14.15,16.36,No
T00000387,A000120,C00074,B025,2026-04-17 20:21:55,Credit,21680.96,INR,Net Banking,Electronics,Hyderabad,D00074-1,Success,15.05,29.43,No
T00000391,A001075,C00753,B023,2025-01-31 15:39:20,Debit,41501.68,INR,Net Banking,Healthcare,Hyderabad,D00753-1,Success,34.61,2.47,No
T00000392,A000680,C00471,B017,2026-01-27 13:16:19,Debit,20976.12,INR,Net Banking,ATM,Hyderabad,D00471-1,Success,27.92,17.96,No
T00000409,A000089,C00054,B015,2026-08-17 19:26:11,Debit,19836.0,INR,Net Banking,Utilities,Kolkata,D00054-1,Success,3.2,12.7,No
T00000437,A000319,C00221,B024,2025-07-18 05:19:40,Debit,51672.2,INR,UPI,Travel,Pune,D00221-1,Success,17.63,27.15,No
T00000483,A001017,C00714,B008,2024-03-02 03:12:51,Debit,32642.15,INR,Net Banking,Healthcare,Bengaluru,D00714-1,Success,32.26,27.91,No
T00000493,A001199,C00834,B013,2026-08-06 19:44:45,Debit,20751.28,INR,Card,Utilities,Chennai,D00834-1,Success,19.91,23.77,No
T00000495,A001396,C00972,B012,2026-08-20 11:40:28,Debit,22808.51,INR,Net Banking,E-Commerce,Mumbai,D00972-1,Success,11.89,17.4,No
T00000522,A000435,C00305,B002,2024-02-12 21:34:04,Debit,42386.75,INR,ATM,Dining,Bengaluru,D00305-1,Success,12.39,12.01,No
T00000527,A000736,C00508,B002,2024-07-23 09:41:20,Debit,24731.23,INR,UPI,Electronics,Pune,D00508-1,Success,2.5,5.26,No
T00000530,A000625,C00436,B023,2025-03-21 11:21:59,Debit,35976.28,USD,UPI,ATM,Pune,D00436-1,Success,26.21,24.14,No
T00000533,A000110,C00067,B023,2026-05-16 00:33:20,Debit,79349.56,INR,Mobile Banking,Fuel,Pune,D00067-1,Success,30.82,8.33,No
T00000567,A001315,C00913,B006,2026-03-15 08:03:16,Credit,30133.16,EUR,Net Banking,Fuel,Pune,D00913-1,Success,26.23,18.91,No
T00000591,A000010,C00006,B025,2026-08-10 19:05:55,Credit,22963.64,INR,Net Banking,Fuel,Hyderabad,D00006-1,Failed,21.64,21.8,No
T00000608,A000034,C00025,B014,2026-01-14 16:39:43,Debit,30752.84,INR,Mobile Banking,Travel,Hyderabad,D00025-1,Success,25.22,18.14,No
T00000610,A000735,C00507,B025,2026-02-22 12:28:20,Debit,31679.36,INR,Mobile Banking,Grocery,Bengaluru,D00507-1,Success,13.1,20.2,No
T00000612,A000005,C00003,B022,2026-08-21 00:06:57,Debit,36868.5,INR,Card,Dining,Kolkata,D00003-1,Success,30.52,6.01,No
T00000613,A000209,C00140,B017,2025-03-03 14:22:51,Debit,24800.25,INR,UPI,Healthcare,Madurai,D00140-1,Reversed,29.27,4.19,No
T00000617,A001253,C00872,B008,2026-06-05 03:44:55,Debit,21186.8,INR,Mobile Banking,ATM,Kochi,D00872-1,Success,19.28,26.54,No
T00000621,A000242,C00166,B015,2026-05-03 03:29:59,Debit,35208.91,INR,Card,Fuel,Mumbai,D00166-1,Success,15.21,7.15,No
T00000622,A000866,C00600,B015,2026-08-17 12:39:32,Credit,22511.95,INR,Card,Dining,Kolkata,D00600-1,Success,10.66,10.73,No
T00000677,A000571,C00401,B015,2024-03-15 16:07:16,Debit,37347.88,INR,Mobile Banking,Electronics,Delhi,D00401-1,Success,20.51,27.44,No
T00000722,A001028,C00722,B013,2024-01-09 05:42:34,Debit,22997.13,INR,ATM,ATM,Kolkata,D00722-1,Success,31.13,21.6,No
T00000732,A000203,C00135,B021,2026-02-05 16:19:34,Debit,32752.41,INR,Net Banking,Fuel,Coimbatore,D00135-1,Success,6.31,29.87,No
T00000740,A000660,C00457,B014,2026-07-04 19:26:11,Debit,113638.42,INR,ATM,Healthcare,Madurai,D00457-1,Success,21.0,22.52,No
T00000749,A000403,C00282,B005,2025-10-05 11:10:07,Credit,19928.21,INR,UPI,E-Commerce,Hyderabad,D00282-1,Success,34.45,24.81,No
T00000757,A000430,C00301,B011,2026-05-29 00:44:48,Debit,26175.96,INR,UPI,Grocery,Madurai,D00301-1,Success,13.41,22.75,No
T00000767,A001254,C00872,B008,2026-04-22 20:20:01,Credit,25124.11,INR,Net Banking,Electronics,Kochi,D00872-1,Success,1.62,19.27,No
T00000768,A000738,C00510,B011,2026-06-05 14:31:25,Credit,21027.34,INR,Card,E-Commerce,Kochi,D00510-1,Success,4.3,25.9,No
T00000771,A001013,C00711,B020,2026-04-06 00:00:13,Credit,31707.06,INR,Card,ATM,Pune,D00711-1,Success,18.93,4.47,No
T00000789,A000749,C00517,B006,2026-04-19 07:12:43,Credit,30932.36,INR,Net Banking,Healthcare,Bengaluru,D00517-1,Success,23.25,24.96,No
T00000796,A000263,C00181,B023,2025-06-23 06:36:54,Credit,117313.95,INR,ATM,Electronics,Coimbatore,D00181-1,Success,25.6,11.11,No
T00000829,A000380,C00266,B018,2025-08-09 18:08:25,Debit,31020.87,INR,ATM,Travel,Chennai,D00266-1,Success,28.94,18.99,No
T00000832,A001006,C00706,B015,2025-12-22 06:18:58,Debit,47518.13,INR,Mobile Banking,Fuel,Delhi,D00706-1,Success,9.37,16.97,No
T00000835,A000314,C00218,B018,2025-02-16 02:31:44,Credit,27173.73,INR,Mobile Banking,Transfer,Bengaluru,D00218-1,Success,5.2,21.65,No
T00000850,A000195,C00130,B022,2024-11-10 20:43:39,Debit,91043.74,INR,ATM,E-Commerce,Mumbai,D00130-1,Success,27.23,29.46,No
T00000863,A001236,C00861,B009,2026-02-24 23:39:33,Debit,32149.03,INR,Branch,Travel,Chennai,D00861-1,Success,14.28,14.03,No
T00000877,A000125,C00078,B018,2024-05-20 05:16:00,Debit,22764.88,INR,UPI,Dining,Mumbai,D00078-1,Success,7.32,3.81,No
T00000886,A001262,C00878,B017,2025-09-30 13:38:14,Credit,23787.78,INR,Net Banking,E-Commerce,Pune,D00878-1,Success,6.48,5.67,No
T00000905,A001402,C00975,B003,2025-12-13 08:01:03,Debit,21510.14,INR,UPI,Transfer,Bengaluru,D00975-1,Reversed,32.64,15.27,No
T00000924,A000850,C00592,B014,2026-05-28 01:28:51,Credit,21268.19,INR,Mobile Banking,Grocery,Kochi,D00592-1,Success,7.84,6.54,No
T00000929,A001088,C00763,B001,2025-12-02 13:48:52,Debit,20655.59,INR,Branch,Healthcare,Hyderabad,D00763-1,Success,25.58,3.76,No
T00000952,A000807,C00560,B004,2025-01-21 08:48:19,Credit,24497.12,INR,Card,Transfer,Hyderabad,D00560-1,Success,5.97,22.97,No
T00000988,A000098,C00060,B016,2025-08-26 08:20:03,Debit,23952.58,INR,Net Banking,Grocery,Coimbatore,D00060-1,Success,6.0,9.06,No
T00000989,A000819,C00567,B018,2025-11-28 18:18:40,Debit,49041.86,INR,Branch,Electronics,Kolkata,D00567-1,Success,5.21,15.73,No
T00001002,A001277,C00888,B024,2024-01-14 20:31:34,Debit,35184.37,INR,ATM,Grocery,Bengaluru,D00888-1,Success,23.98,14.06,No
T00001010,A000266,C00184,B019,2025-08-17 02:27:23,Debit,42516.16,INR,Mobile Banking,Fuel,Chennai,D00184-1,Success,32.85,12.84,No
T00001022,A001203,C00836,B023,2026-08-28 18:10:24,Debit,41135.73,INR,Branch,ATM,Pune,D00836-1,Success,26.9,12.24,No
T00001045,A001047,C00736,B004,2025-11-29 19:10:20,Debit,43230.78,INR,Branch,Fuel,Kolkata,D00736-1,Success,31.56,12.01,No
T00001051,A000972,C00682,B021,2024-04-13 14:41:23,Debit,31912.44,INR,Mobile Banking,Healthcare,Madurai,D00682-1,Success,18.09,5.03,No
T00001057,A000089,C00054,B015,2026-03-03 16:10:59,Debit,36711.97,INR,ATM,Utilities,Kolkata,D00054-1,Success,17.49,23.67,No
T00001099,A001326,C00921,B013,2025-11-16 17:01:52,Debit,66265.97,INR,UPI,Travel,Pune,D00921-1,Success,32.49,23.24,No
T00001102,A001186,C00826,B012,2026-07-11 17:22:52,Debit,36185.41,INR,Mobile Banking,Dining,Pune,D00826-1,Success,18.22,17.59,No
T00001112,A000969,C00679,B001,2024-05-22 17:57:47,Debit,61011.21,INR,Net Banking,Healthcare,Pune,D00679-1,Success,20.14,29.44,No
T00001117,A000545,C00381,B024,2026-05-01 19:07:45,Credit,30702.51,INR,Net Banking,Dining,Pune,D00381-1,Success,9.06,2.48,No
T00001128,A000994,C00697,B005,2025-03-18 16:09:42,Debit,21707.33,INR,Branch,Travel,Coimbatore,D00697-1,Success,34.89,4.72,No
T00001158,A001143,C00797,B002,2025-11-30 00:53:40,Credit,25207.68,INR,Mobile Banking,Electronics,Bengaluru,D00797-1,Reversed,16.0,6.62,No
T00001163,A000148,C00096,B020,2025-03-02 05:53:23,Debit,32567.5,INR,UPI,Transfer,Kochi,D00096-1,Success,23.42,8.09,No
T00001184,A001067,C00749,B004,2025-02-27 15:18:13,Credit,133679.0,INR,UPI,ATM,Pune,D00749-1,Success,28.08,24.96,No
T00001215,A000726,C00502,B020,2025-09-26 06:42:56,Debit,26469.09,INR,UPI,Travel,Pune,D00502-1,Success,34.7,24.4,No
T00001221,A000501,C00351,B021,2024-09-02 18:31:13,Debit,25271.15,INR,UPI,Fuel,Delhi,D00351-1,Success,18.23,21.39,No
T00001230,A000476,C00334,B012,2024-01-29 09:08:56,Credit,41918.36,INR,UPI,Utilities,Chennai,D00334-1,Success,26.17,11.77,No
T00001257,A000428,C00299,B014,2025-12-26 08:43:28,Debit,26484.9,INR,ATM,Transfer,Kolkata,D00299-1,Success,33.13,7.42,No
T00001263,A000350,C00243,B007,2024-08-30 18:05:26,Credit,49255.46,INR,ATM,Healthcare,Mumbai,D00243-1,Success,32.99,26.92,No
T00001267,A001124,C00783,B006,2024-10-28 01:50:26,Debit,24727.96,INR,Card,Electronics,Chennai,D00783-1,Success,22.02,26.14,No
T00001272,A001273,C00886,B023,2025-07-03 18:36:10,Debit,28172.17,INR,Card,E-Commerce,Bengaluru,D00886-1,Success,26.04,13.55,No
T00001293,A000522,C00365,B015,2024-04-26 01:11:55,Debit,23679.53,INR,Net Banking,ATM,Coimbatore,D00365-1,Success,26.74,26.71,No
T00001306,A001162,C00809,B020,2025-04-07 01:43:24,Debit,20173.92,INR,Card,Electronics,Pune,D00809-1,Success,9.54,10.1,No
T00001333,A001112,C00777,B001,2024-02-06 14:17:13,Debit,21999.06,INR,Card,Grocery,Madurai,D00777-1,Success,8.15,5.8,No
T00001342,A001091,C00766,B010,2025-08-05 09:15:52,Debit,20512.89,INR,Card,Healthcare,Bengaluru,D00766-1,Success,23.75,18.0,No
T00001370,A001010,C00709,B011,2026-01-26 09:36:19,Debit,32881.25,INR,Card,Transfer,Pune,D00709-1,Success,22.15,4.33,No
T00001412,A000207,C00138,B017,2025-04-11 21:49:08,Debit,32799.21,INR,ATM,Dining,Kochi,D00138-1,Success,20.14,13.7,No
T00001439,A001405,C00978,B018,2026-05-28 23:39:32,Debit,24549.76,INR,UPI,Dining,Pune,D00978-1,Success,17.33,8.19,No
T00001466,A000277,C00192,B006,2025-12-30 12:16:42,Debit,23731.45,INR,Card,Grocery,Kolkata,D00192-1,Success,27.79,15.79,No
T00001473,A000102,C00063,B001,2026-07-05 00:58:49,Debit,25795.93,INR,Card,ATM,Hyderabad,D00063-1,Success,24.39,14.05,No
T00001496,A000698,C00487,B007,2025-08-24 05:12:12,Debit,25940.74,INR,Card,Grocery,Pune,D00487-1,Success,14.57,29.39,No
T00001535,A000778,C00539,B011,2026-06-24 15:29:04,Credit,34199.9,INR,UPI,Travel,Madurai,D00539-1,Success,22.85,23.18,No
T00001553,A000124,C00077,B010,2026-04-26 13:07:50,Debit,27479.12,INR,UPI,Travel,Pune,D00077-1,Success,16.58,13.79,No
T00001559,A000758,C00526,B022,2025-10-28 02:21:50,Debit,24900.4,INR,UPI,Utilities,Hyderabad,D00526-1,Success,5.24,14.71,No
T00001565,A001190,C00828,B003,2026-03-17 03:47:23,Credit,65491.84,INR,Card,Transfer,Bengaluru,D00828-1,Success,10.58,2.82,No
T00001606,A000352,C00244,B001,2026-05-08 06:37:05,Debit,24009.66,INR,Net Banking,Electronics,Kolkata,D00244-1,Success,31.92,20.24,No
T00001607,A000984,C00689,B008,2026-08-29 22:57:01,Debit,50853.63,INR,UPI,Electronics,Chennai,D00689-1,Success,18.86,7.22,No
T00001630,A000424,C00296,B025,2025-10-31 19:09:16,Debit,52876.57,INR,UPI,Transfer,Chennai,D00296-1,Success,29.11,28.11,No
T00001631,A000525,C00367,B012,2024-07-04 05:05:35,Debit,21955.7,INR,Branch,Healthcare,Pune,D00367-1,Success,6.57,24.2,No
T00001634,A000512,C00357,B013,2025-02-27 11:06:24,Debit,24785.64,INR,UPI,Grocery,Coimbatore,D00357-1,Success,31.23,21.6,No
T00001644,A001328,C00922,B006,2026-07-30 12:24:54,Credit,38161.54,INR,Card,Grocery,Hyderabad,D00922-1,Success,5.96,7.82,No
T00001680,A001222,C00851,B014,2026-02-09 14:15:05,Debit,20965.49,INR,UPI,Utilities,Coimbatore,D00851-1,Success,27.18,21.69,No
T00001682,A001357,C00944,B011,2025-04-17 05:30:32,Debit,35534.4,INR,Branch,E-Commerce,Hyderabad,D00944-1,Failed,9.17,23.97,No
T00001689,A000117,C00071,B008,2024-02-26 00:01:17,Credit,78571.42,INR,Net Banking,Healthcare,Mumbai,D00071-1,Success,1.92,13.73,No
T00001695,A000185,C00122,B016,2024-10-31 22:53:33,Debit,25017.8,INR,UPI,Healthcare,Madurai,D00122-1,Success,26.15,15.0,No
T00001709,A000851,C00592,B014,2025-11-13 13:03:13,Debit,40184.54,INR,UPI,Healthcare,Kochi,D00592-1,Success,27.2,12.41,No
T00001712,A000830,C00577,B014,2026-02-13 23:48:19,Debit,30607.67,INR,ATM,E-Commerce,Pune,D00577-1,Success,9.64,24.28,No
T00001721,A000850,C00592,B014,2026-03-05 06:11:53,Debit,24099.17,INR,UPI,Healthcare,Kochi,D00592-1,Success,25.24,4.09,No
T00001728,A000003,C00002,B017,2026-06-17 16:49:16,Debit,30517.2,INR,Net Banking,Utilities,Kochi,D00002-1,Success,21.96,15.53,No
T00001733,A001203,C00836,B023,2026-03-31 05:25:44,Credit,59559.32,INR,UPI,Electronics,Pune,D00836-1,Failed,30.79,14.73,No
T00001748,A001374,C00956,B001,2025-11-25 20:58:32,Credit,23351.09,INR,Card,Electronics,Bengaluru,D00956-1,Success,19.14,16.5,No
T00001752,A001403,C00976,B010,2026-01-08 06:46:33,Debit,78305.92,INR,Net Banking,Healthcare,Coimbatore,D00976-1,Success,22.86,24.39,No
T00001761,A000869,C00602,B003,2026-07-18 05:40:20,Debit,26833.28,INR,Card,ATM,Pune,D00602-1,Success,10.04,11.77,No
T00001782,A000586,C00411,B004,2024-12-22 22:52:05,Debit,55371.22,INR,Mobile Banking,ATM,Delhi,D00411-1,Success,30.82,22.96,No
T00001785,A000632,C00441,B007,2025-10-15 06:25:13,Credit,29289.62,INR,UPI,Dining,Pune,D00441-1,Success,33.44,14.67,No
T00001788,A000634,C00442,B011,2024-08-28 12:49:11,Debit,29540.14,INR,UPI,Dining,Chennai,D00442-1,Success,6.52,3.61,No
T00001798,A000549,C00385,B005,2026-06-29 10:46:01,Debit,55373.22,INR,Branch,Healthcare,Pune,D00385-1,Success,8.13,21.14,No
T00001807,A000309,C00214,B018,2026-08-21 16:05:06,Debit,30643.36,USD,UPI,Grocery,Delhi,D00214-1,Success,12.67,5.98,No
T00001810,A000475,C00333,B019,2026-05-27 10:07:37,Debit,36715.37,INR,Mobile Banking,ATM,Delhi,D00333-1,Success,26.66,2.22,No
T00001833,A001277,C00888,B024,2026-05-07 11:14:33,Debit,81286.65,INR,Mobile Banking,E-Commerce,Bengaluru,D00888-1,Failed,22.07,10.48,No
T00001872,A001033,C00724,B024,2026-01-08 14:28:24,Debit,100705.98,INR,Card,Fuel,Mumbai,D00724-1,Success,5.05,15.69,No
T00001881,A000727,C00502,B020,2026-08-15 14:46:05,Credit,35342.71,INR,UPI,Grocery,Pune,D00502-1,Success,4.41,29.46,No
T00001890,A001154,C00804,B001,2025-05-23 05:53:59,Credit,39629.37,INR,Card,Travel,Mumbai,D00804-1,Success,11.64,5.51,No
T00001898,A001250,C00869,B007,2026-03-07 17:58:35,Debit,20405.03,INR,Net Banking,E-Commerce,Madurai,D00869-1,Success,11.69,2.15,No
T00001902,A000743,C00512,B010,2025-08-31 22:13:31,Debit,23658.11,INR,Card,Healthcare,Bengaluru,D00512-1,Success,30.61,10.38,No
T00001922,A000178,C00117,B008,2025-02-15 08:16:50,Debit,19768.39,INR,Mobile Banking,Dining,Kochi,D00117-1,Success,32.62,19.15,No
T00001924,A000728,C00502,B020,2026-08-23 22:19:56,Debit,56370.83,INR,Mobile Banking,ATM,Pune,D00502-1,Failed,23.92,8.55,No
T00001940,A000857,C00595,B024,2026-05-26 15:24:53,Debit,66523.41,INR,Card,ATM,Chennai,D00595-1,Success,19.38,18.57,No
T00001963,A000946,C00661,B019,2026-02-14 14:58:35,Debit,30267.7,INR,Card,Utilities,Madurai,D00661-1,Success,8.35,13.0,No
T00001969,A000138,C00089,B024,2025-06-27 19:45:33,Debit,78560.89,INR,Branch,Utilities,Madurai,D00089-1,Success,7.0,7.48,No
T00001973,A000479,C00336,B018,2025-02-19 00:32:13,Credit,25456.38,INR,Net Banking,Healthcare,Chennai,D00336-1,Success,31.57,15.88,No
T00001976,A000451,C00315,B006,2026-08-28 16:19:35,Debit,22578.59,INR,UPI,Utilities,Chennai,D00315-1,Success,20.88,7.8,No
T00001977,A000724,C00500,B015,2025-08-02 02:37:32,Debit,27765.37,INR,Net Banking,Healthcare,Madurai,D00500-1,Success,20.7,10.84,No
T00001981,A001241,C00863,B010,2025-10-18 14:24:38,Debit,21837.53,INR,Net Banking,Electronics,Coimbatore,D00863-1,Success,27.33,5.55,No
T00002006,A000770,C00534,B004,2026-04-30 23:26:21,Debit,20874.01,INR,Branch,Fuel,Madurai,D00534-1,Success,19.28,2.26,No
T00002030,A000873,C00605,B015,2026-06-09 00:53:47,Debit,25881.24,INR,Card,Transfer,Coimbatore,D00605-1,Success,30.55,22.75,No
T00002034,A000793,C00549,B012,2026-04-20 02:42:46,Credit,23076.26,INR,UPI,Travel,Chennai,D00549-1,Success,28.2,28.86,No
T00002037,A000285,C00198,B014,2026-05-22 14:37:22,Debit,103228.32,INR,Mobile Banking,Travel,Madurai,D00198-1,Success,6.83,10.93,No
T00002057,A001036,C00726,B020,2026-02-22 14:20:36,Debit,34357.76,INR,UPI,Dining,Kolkata,D00726-1,Success,0.88,24.83,No
T00002058,A000829,C00576,B012,2026-06-05 00:01:21,Debit,19994.72,INR,Mobile Banking,E-Commerce,Mumbai,D00576-1,Reversed,29.33,29.46,No
T00002059,A000819,C00567,B018,2025-10-11 15:04:10,Debit,21044.68,INR,UPI,E-Commerce,Kolkata,D00567-1,Success,15.85,18.46,No
T00002072,A000088,C00054,B015,2026-08-16 15:19:21,Debit,21019.32,INR,Card,ATM,Kolkata,D00054-1,Success,8.38,3.03,No
T00002078,A000436,C00306,B012,2025-02-13 15:57:02,Debit,25898.27,INR,Card,Transfer,Hyderabad,D00306-1,Success,23.85,11.7,No
T00002089,A000107,C00065,B005,2026-08-08 12:47:18,Debit,26779.04,INR,UPI,Electronics,Madurai,D00065-1,Success,14.97,28.22,No
T00002136,A000138,C00089,B024,2025-07-16 00:41:01,Credit,71323.15,INR,UPI,E-Commerce,Madurai,D00089-1,Success,0.3,14.61,No
T00002143,A001355,C00942,B021,2025-08-25 17:31:23,Debit,21760.43,INR,Card,Transfer,Kochi,D00942-1,Success,5.44,12.41,No
T00002146,A000749,C00517,B006,2025-06-29 23:02:48,Credit,25037.35,INR,UPI,ATM,Bengaluru,D00517-1,Success,29.31,4.32,No
T00002160,A001111,C00777,B001,2024-05-22 15:31:12,Debit,54774.04,INR,UPI,Dining,Madurai,D00777-1,Success,14.84,10.86,No
T00002168,A001200,C00834,B013,2026-01-08 05:11:13,Debit,68664.35,INR,UPI,Travel,Chennai,D00834-1,Success,34.89,26.74,No
T00002177,A000683,C00474,B024,2025-06-17 19:57:34,Debit,38647.67,INR,UPI,Healthcare,Kolkata,D00474-1,Success,14.61,27.85,No
T00002183,A000347,C00241,B003,2024-03-15 09:43:27,Debit,40853.28,INR,UPI,Dining,Kolkata,D00241-1,Success,7.11,18.88,No
T00002185,A001016,C00713,B016,2024-09-27 08:41:21,Debit,53654.13,INR,UPI,Electronics,Coimbatore,D00713-1,Success,6.98,6.98,No
T00002193,A000732,C00506,B023,2026-01-04 11:50:51,Debit,22912.85,INR,Net Banking,Transfer,Hyderabad,D00506-1,Success,22.96,16.34,No
T00002198,A000260,C00178,B024,2026-06-12 08:49:02,Debit,23274.57,INR,UPI,Dining,Coimbatore,D00178-1,Success,24.06,4.96,No
T00002200,A001299,C00904,B003,2026-08-11 05:29:30,Debit,24061.87,INR,Mobile Banking,Healthcare,Bengaluru,D00904-1,Success,8.7,6.33,No
T00002214,A000380,C00266,B018,2024-08-26 20:19:48,Debit,35226.48,INR,Card,Transfer,Chennai,D00266-1,Success,11.5,13.7,No
T00002237,A000074,C00048,B016,2025-10-10 23:34:47,Debit,21381.47,INR,Mobile Banking,Fuel,Bengaluru,D00048-1,Success,16.32,23.49,No
T00002266,A000393,C00274,B007,2026-04-24 11:34:29,Debit,22833.06,INR,Net Banking,E-Commerce,Pune,D00274-1,Success,5.27,13.53,No
T00002285,A000562,C00395,B019,2025-03-15 05:22:55,Credit,49497.07,INR,Mobile Banking,ATM,Bengaluru,D00395-1,Success,0.93,29.01,No
T00002298,A000555,C00389,B016,2024-09-26 18:49:43,Debit,20930.57,INR,Net Banking,Fuel,Madurai,D00389-1,Success,22.29,14.8,No
T00002312,A000519,C00362,B008,2026-08-13 01:27:12,Credit,48386.57,INR,Mobile Banking,Electronics,Pune,D00362-1,Success,8.34,2.7,No
T00002320,A000715,C00496,B020,2026-05-16 13:58:58,Debit,25322.76,INR,Net Banking,Healthcare,Chennai,D00496-1,Success,14.24,7.13,No
