transaction_id,account_id,customer_id,branch_id,transaction_datetime,transaction_type,transaction_amount,currency,channel,merchant_category,transaction_city,device_id,transaction_status,fee_amount,operational_cost,fraud_confirmed,high_value_flag,rapid_transaction_flag,location_change_flag,failed_transaction_flag,basic_fraud_flag_count,previous_transaction_time,minutes_since_previous,unusual_amount_flag,previous_city,multiple_device_flag,unusual_merchant_flag,repeated_failed_flag,failed_login_flag,previous_customer_transaction,days_since_previous,high_value_after_dormant_flag,fraud_risk_score,fraud_risk_level
T00026128,A000069,C00045,B025,2026-05-06 09:32:00,Debit,64921.45,INR,Card,Travel,Pune,D00045-1,Success,30.0,18.0,Yes,1,0,1,0,2,2026-05-06 07:32:00,120.0,1,Hyderabad,0,0,0,1,2026-05-06 07:32:00,0.08333333333333333,0,70,Critical
T00003267,A000097,C00060,B016,2026-04-04 21:30:14,Debit,45058.07,INR,Mobile Banking,Electronics,Coimbatore,D00060-1,Success,0.5,14.2,No,1,0,0,0,1,2026-02-25 00:26:23,55983.85,1,Coimbatore,0,0,1,0,2026-02-25 00:26:23,38.87767361111111,1,40,High
T00010331,A000104,C00064,B010,2026-03-04 18:47:01,Debit,32701.47,INR,Net Banking,Grocery,Chennai,D00064-1,Success,6.02,10.58,No,1,0,0,0,1,2026-02-22 18:03:14,14443.783333333333,1,Chennai,1,0,1,0,2026-02-22 18:03:14,10.030405092592593,0,40,High
T00022401,A000126,C00079,B012,2025-11-08 14:44:17,Debit,29402.68,INR,UPI,E-Commerce,Madurai,D00079-1,Success,16.09,5.66,No,1,0,0,0,1,2025-10-02 16:40:42,53163.583333333336,1,Madurai,1,0,0,0,2025-10-02 16:40:42,36.91915509259259,1,40,High
T00014496,A000126,C00079,B012,2026-06-10 16:32:54,Debit,33525.9,INR,Card,Healthcare,Madurai,D00079-1,Success,27.82,11.21,No,1,0,0,0,1,2026-05-10 20:42:28,44390.433333333334,1,Madurai,1,0,0,0,2026-05-10 20:42:28,30.826689814814817,1,40,High
T00000023,A000130,C00083,B004,2024-07-11 16:51:41,Debit,122692.98,INR,Net Banking,Grocery,Pune,D00083-1,Success,5.66,26.04,No,1,0,0,0,1,2024-06-21 04:55:06,29516.583333333332,1,Pune,1,0,1,1,2024-06-21 04:55:06,20.497627314814814,0,45,High
T00026021,A000130,C00083,B004,2026-05-28 04:08:00,Debit,45102.49,INR,Mobile Banking,Transfer,Pune,D00083-2,Success,20.0,12.0,Yes,1,0,0,0,1,2026-05-03 06:55:32,35832.46666666667,1,Pune,1,0,1,1,2026-05-03 06:55:32,24.88365740740741,0,70,Critical
T00026022,A000130,C00083,B004,2026-05-28 04:20:00,Debit,94735.17,INR,Mobile Banking,Transfer,Pune,D00083-3,Success,20.0,12.0,Yes,1,0,0,0,1,2026-05-28 04:08:00,12.0,1,Pune,1,0,1,1,2026-05-28 04:08:00,0.008333333333333333,0,70,Critical
T00026023,A000130,C00083,B004,2026-05-28 04:32:00,Debit,108440.0,INR,Mobile Banking,Transfer,Pune,D00083-4,Success,20.0,12.0,Yes,1,0,0,0,1,2026-05-28 04:20:00,12.0,1,Pune,1,0,1,1,2026-05-28 04:20:00,0.008333333333333333,0,70,Critical
T00026024,A000130,C00083,B004,2026-05-28 04:44:00,Debit,60738.7,INR,Mobile Banking,Transfer,Pune,D00083-5,Success,20.0,12.0,Yes,1,0,0,0,1,2026-05-28 04:32:00,12.0,1,Pune,1,0,1,1,2026-05-28 04:32:00,0.008333333333333333,0,70,Critical
T00010029,A000130,C00083,B004,2026-06-02 16:43:22,Debit,24430.17,INR,Branch,Utilities,Pune,D00083-1,Success,24.99,10.56,No,1,0,0,0,1,2026-05-28 04:44:00,7919.366666666667,1,Pune,1,0,1,1,2026-05-28 04:44:00,5.499560185185185,0,45,High
T00026085,A000133,C00085,B012,2026-01-21 14:26:00,Debit,78611.33,INR,Card,Travel,Bengaluru,D00085-1,Success,30.0,18.0,Yes,1,0,0,0,1,2025-12-01 19:55:36,73110.4,1,Hyderabad,0,0,0,1,2025-12-01 19:55:36,50.77111111111111,1,70,Critical
T00026086,A000133,C00085,B012,2026-01-21 16:26:00,Debit,47208.06,INR,Card,Travel,Pune,D00085-1,Success,30.0,18.0,Yes,1,0,1,0,2,2026-01-21 14:26:00,120.0,1,Bengaluru,0,0,0,1,2026-01-21 14:26:00,0.08333333333333333,0,70,Critical
T00026087,A000133,C00085,B012,2026-01-21 18:26:00,Debit,92852.12,INR,Card,Travel,Mumbai,D00085-1,Success,30.0,18.0,Yes,1,0,1,0,2,2026-01-21 16:26:00,120.0,1,Pune,0,0,0,1,2026-01-21 16:26:00,0.08333333333333333,0,70,Critical
T00026043,A000138,C00089,B024,2026-04-03 00:39:00,Debit,654353.63,INR,Branch,Transfer,Madurai,D00089-1,Success,50.0,25.0,Yes,1,0,0,0,1,2026-03-06 09:02:22,39816.63333333333,1,Madurai,0,0,0,1,2026-03-06 09:02:22,27.650439814814813,0,70,Critical
T00026137,A000183,C00121,B015,2025-06-12 16:50:00,Debit,68780.7,INR,Mobile Banking,Transfer,Chennai,D00121-2,Success,20.0,12.0,Yes,1,0,0,0,1,,,1,,1,0,1,0,,,0,70,Critical
T00026138,A000183,C00121,B015,2025-06-12 17:02:00,Debit,40894.46,INR,Mobile Banking,Transfer,Chennai,D00121-3,Success,20.0,12.0,Yes,1,0,0,0,1,2025-06-12 16:50:00,12.0,1,Chennai,1,0,1,0,2025-06-12 16:50:00,0.008333333333333333,0,70,Critical
T00026139,A000183,C00121,B015,2025-06-12 17:14:00,Debit,76251.26,INR,Mobile Banking,Transfer,Chennai,D00121-4,Success,20.0,12.0,Yes,1,0,0,0,1,2025-06-12 17:02:00,12.0,1,Chennai,1,0,1,0,2025-06-12 17:02:00,0.008333333333333333,0,70,Critical
T00026140,A000183,C00121,B015,2025-06-12 17:26:00,Debit,59624.83,INR,Mobile Banking,Transfer,Chennai,D00121-5,Success,20.0,12.0,Yes,1,0,0,0,1,2025-06-12 17:14:00,12.0,1,Chennai,1,0,1,0,2025-06-12 17:14:00,0.008333333333333333,0,70,Critical
T00010203,A000182,C00121,B015,2025-11-01 10:31:50,Debit,19807.25,INR,Card,Transfer,Chennai,D00121-1,Success,34.71,3.22,No,1,0,0,0,1,2025-10-27 06:13:56,7457.9,1,Chennai,1,0,1,0,2025-10-27 06:13:56,5.1790972222222225,0,40,High
T00021144,A000183,C00121,B015,2025-11-04 15:00:09,Debit,21198.8,INR,Card,Utilities,Chennai,D00121-1,Success,14.8,6.35,No,1,0,0,0,1,2025-11-02 14:50:12,2889.95,1,Chennai,1,0,1,0,2025-11-02 14:50:12,2.0069097222222223,0,40,High
T00017913,A000182,C00121,B015,2026-03-03 08:15:50,Credit,33687.62,INR,Net Banking,Electronics,Chennai,D00121-1,Success,29.21,4.99,No,1,0,0,0,1,2026-02-27 08:54:13,5721.616666666667,1,Chennai,1,0,1,0,2026-02-27 08:54:13,3.9733449074074074,0,40,High
T00000305,A000183,C00121,B015,2026-03-08 06:11:15,Debit,23468.04,INR,Card,Grocery,Chennai,D00121-1,Success,32.51,14.02,No,1,0,0,0,1,2026-03-08 02:33:35,217.66666666666666,1,Chennai,1,0,1,0,2026-03-08 02:33:35,0.1511574074074074,0,40,High
T00003989,A000209,C00140,B017,2024-07-01 23:25:51,Debit,19844.64,INR,UPI,E-Commerce,Madurai,D00140-1,Success,16.23,7.92,No,1,0,0,0,1,2024-05-28 03:23:26,50162.416666666664,1,Madurai,0,0,1,0,2024-05-28 03:23:26,34.83501157407407,1,40,High
T00026063,A000210,C00141,B010,2026-02-23 00:07:00,Debit,72146.22,INR,Card,Travel,Pune,D00141-1,Success,30.0,18.0,Yes,1,0,0,0,1,2026-01-27 21:41:25,37585.583333333336,1,Chennai,0,0,0,0,2026-01-27 21:41:25,26.101099537037037,0,70,Critical
T00026064,A000210,C00141,B010,2026-02-23 02:07:00,Debit,73727.64,INR,Card,Travel,Mumbai,D00141-1,Success,30.0,18.0,Yes,1,0,1,0,2,2026-02-23 00:07:00,120.0,1,Pune,0,0,0,0,2026-02-23 00:07:00,0.08333333333333333,0,70,Critical
T00026065,A000210,C00141,B010,2026-02-23 04:07:00,Debit,66900.72,INR,Card,Travel,Hyderabad,D00141-1,Success,30.0,18.0,Yes,1,0,1,0,2,2026-02-23 02:07:00,120.0,1,Mumbai,0,0,0,0,2026-02-23 02:07:00,0.08333333333333333,0,70,Critical
T00021508,A000215,C00146,B016,2025-05-03 17:38:21,Credit,21517.46,INR,UPI,Travel,Kochi,D00146-1,Success,33.12,16.74,No,1,0,0,0,1,2025-03-18 06:48:04,66890.28333333334,1,Kochi,0,0,1,1,2025-03-18 06:48:04,46.451585648148146,1,45,High
T00007593,A000216,C00147,B022,2026-01-04 23:44:05,Debit,35523.39,INR,Net Banking,Grocery,Mumbai,D00147-1,Failed,21.4,21.51,No,1,0,0,1,2,2025-11-15 00:09:56,73414.15,1,Mumbai,0,0,1,0,2025-11-15 00:09:56,50.98204861111111,1,40,High
T00023697,A000233,C00159,B009,2024-01-20 10:51:21,Debit,24784.99,INR,Mobile Banking,Travel,Hyderabad,D00159-1,Failed,12.77,10.56,No,1,0,0,1,2,,,1,,1,0,1,1,,,0,45,High
T00026001,A000233,C00159,B009,2025-08-22 10:03:00,Debit,59391.09,INR,Mobile Banking,Transfer,Hyderabad,D00159-2,Success,20.0,12.0,Yes,1,0,0,0,1,2025-07-13 19:21:09,57041.85,1,Hyderabad,1,0,1,1,2025-07-13 19:21:09,39.61239583333333,1,70,Critical
T00026002,A000233,C00159,B009,2025-08-22 10:15:00,Debit,72319.76,INR,Mobile Banking,Transfer,Hyderabad,D00159-3,Success,20.0,12.0,Yes,1,0,0,0,1,2025-08-22 10:03:00,12.0,1,Hyderabad,1,0,1,1,2025-08-22 10:03:00,0.008333333333333333,0,70,Critical
T00026003,A000233,C00159,B009,2025-08-22 10:27:00,Debit,97543.04,INR,Mobile Banking,Transfer,Hyderabad,D00159-4,Success,20.0,12.0,Yes,1,0,0,0,1,2025-08-22 10:15:00,12.0,1,Hyderabad,1,0,1,1,2025-08-22 10:15:00,0.008333333333333333,0,70,Critical
T00026004,A000233,C00159,B009,2025-08-22 10:39:00,Debit,36137.8,INR,Mobile Banking,Transfer,Hyderabad,D00159-5,Success,20.0,12.0,Yes,1,0,0,0,1,2025-08-22 10:27:00,12.0,1,Hyderabad,1,0,1,1,2025-08-22 10:27:00,0.008333333333333333,0,70,Critical
T00026072,A000239,C00164,B024,2026-02-08 15:39:00,Debit,121623.53,INR,Card,Travel,Kolkata,D00164-1,Success,30.0,18.0,Yes,1,0,0,0,1,2026-02-07 21:37:34,1081.4333333333334,1,Coimbatore,0,0,0,1,2026-02-07 21:37:34,0.7509953703703703,0,70,Critical
T00026073,A000239,C00164,B024,2026-02-08 17:39:00,Debit,123892.0,INR,Card,Travel,Delhi,D00164-1,Success,30.0,18.0,Yes,1,0,1,0,2,2026-02-08 15:39:00,120.0,1,Kolkata,0,0,0,1,2026-02-08 15:39:00,0.08333333333333333,0,70,Critical
T00026074,A000239,C00164,B024,2026-02-08 19:39:00,Debit,84309.84,INR,Card,Travel,Bengaluru,D00164-1,Success,30.0,18.0,Yes,1,0,1,0,2,2026-02-08 17:39:00,120.0,1,Delhi,0,0,0,1,2026-02-08 17:39:00,0.08333333333333333,0,70,Critical
T00017289,A000244,C00167,B001,2024-08-02 23:26:27,Debit,41342.72,INR,UPI,Healthcare,Pune,D00167-1,Success,26.39,11.45,No,1,0,0,0,1,2024-05-24 20:47:33,100958.9,1,Pune,0,0,1,1,2024-05-24 20:47:33,70.11034722222222,1,45,High
T00025342,A000259,C00178,B024,2026-01-11 21:02:29,Debit,56974.98,INR,ATM,Grocery,Coimbatore,D00178-1,Success,16.14,26.9,No,1,0,0,0,1,2025-11-17 20:23:35,79238.9,1,Coimbatore,0,0,1,1,2025-11-17 20:23:35,55.02701388888889,1,45,High
T00026130,A000262,C00180,B022,2026-03-05 13:08:00,Debit,94041.63,INR,Mobile Banking,Transfer,Mumbai,D00180-2,Success,20.0,12.0,Yes,1,0,0,0,1,2026-03-01 21:03:02,5284.966666666666,1,Mumbai,1,0,0,0,2026-03-01 21:03:02,3.6701157407407408,0,70,Critical
T00026131,A000262,C00180,B022,2026-03-05 13:20:00,Debit,46269.06,INR,Mobile Banking,Transfer,Mumbai,D00180-3,Success,20.0,12.0,Yes,1,0,0,0,1,2026-03-05 13:08:00,12.0,1,Mumbai,1,0,0,0,2026-03-05 13:08:00,0.008333333333333333,0,70,Critical
T00026132,A000262,C00180,B022,2026-03-05 13:32:00,Debit,94834.59,INR,Mobile Banking,Transfer,Mumbai,D00180-4,Success,20.0,12.0,Yes,1,0,0,0,1,2026-03-05 13:20:00,12.0,1,Mumbai,1,0,0,0,2026-03-05 13:20:00,0.008333333333333333,0,70,Critical
T00026133,A000262,C00180,B022,2026-03-05 13:44:00,Debit,63787.28,INR,Mobile Banking,Transfer,Mumbai,D00180-5,Success,20.0,12.0,Yes,1,0,0,0,1,2026-03-05 13:32:00,12.0,1,Mumbai,1,0,0,0,2026-03-05 13:32:00,0.008333333333333333,0,70,Critical
T00013873,A000262,C00180,B022,2026-08-22 20:43:26,Credit,28496.81,INR,UPI,Electronics,Mumbai,D00180-1,Success,8.83,18.83,No,1,0,0,0,1,2026-07-06 20:56:28,67666.96666666666,1,Mumbai,1,0,0,0,2026-07-06 20:56:28,46.990949074074074,1,40,High
T00005979,A000268,C00186,B022,2025-11-13 13:39:57,Debit,20740.64,INR,Mobile Banking,Electronics,Kolkata,D00186-1,Success,25.87,21.38,No,1,0,0,0,1,2025-09-20 00:42:41,78537.26666666666,1,Kolkata,0,0,1,0,2025-09-20 00:42:41,54.53976851851852,1,40,High
T00026160,A000272,C00189,B005,2025-09-04 04:36:00,Debit,861300.8,INR,Branch,Transfer,Delhi,D00189-1,Success,50.0,25.0,Yes,1,0,0,0,1,2025-07-27 08:56:54,55899.1,1,Delhi,0,0,0,1,2025-07-27 08:56:54,38.81881944444444,1,70,Critical
T00026008,A000273,C00190,B014,2026-05-25 22:24:00,Debit,148508.47,INR,Card,Travel,Hyderabad,D00190-1,Success,30.0,18.0,Yes,1,0,0,0,1,2026-05-10 22:09:50,21614.166666666668,1,Hyderabad,0,1,0,1,2026-05-10 22:09:50,15.009837962962964,0,70,Critical
T00026009,A000273,C00190,B014,2026-05-26 00:24:00,Debit,127598.68,INR,Card,Travel,Madurai,D00190-1,Success,30.0,18.0,Yes,1,0,1,0,2,2026-05-25 22:24:00,120.0,1,Hyderabad,0,1,0,1,2026-05-25 22:24:00,0.08333333333333333,0,70,Critical
T00026010,A000273,C00190,B014,2026-05-26 02:24:00,Debit,43640.36,INR,Card,Travel,Coimbatore,D00190-1,Success,30.0,18.0,Yes,1,0,1,0,2,2026-05-26 00:24:00,120.0,1,Madurai,0,1,0,1,2026-05-26 00:24:00,0.08333333333333333,0,70,Critical
T00026161,A000291,C00201,B010,2025-10-03 10:35:00,Debit,141566.85,INR,Card,Travel,Bengaluru,D00201-1,Success,30.0,18.0,Yes,1,0,0,0,1,2025-09-24 22:56:40,12218.333333333334,1,Kochi,0,0,0,1,2025-09-24 22:56:40,8.484953703703704,0,70,Critical
T00026162,A000291,C00201,B010,2025-10-03 12:35:00,Debit,60222.55,INR,Card,Travel,Chennai,D00201-1,Success,30.0,18.0,Yes,1,0,1,0,2,2025-10-03 10:35:00,120.0,1,Bengaluru,0,0,0,1,2025-10-03 10:35:00,0.08333333333333333,0,70,Critical
T00026163,A000291,C00201,B010,2025-10-03 14:35:00,Debit,84868.14,INR,Card,Travel,Delhi,D00201-1,Success,30.0,18.0,Yes,1,0,1,0,2,2025-10-03 12:35:00,120.0,1,Chennai,0,0,0,1,2025-10-03 12:35:00,0.08333333333333333,0,70,Critical
T00026102,A000309,C00214,B018,2025-09-02 17:00:00,Debit,88029.97,INR,Mobile Banking,Transfer,Delhi,D00214-2,Success,20.0,12.0,Yes,1,0,0,0,1,,,1,,1,0,0,0,,,0,70,Critical
T00026103,A000309,C00214,B018,2025-09-02 17:12:00,Debit,105395.84,INR,Mobile Banking,Transfer,Delhi,D00214-3,Success,20.0,12.0,Yes,1,0,0,0,1,2025-09-02 17:00:00,12.0,1,Delhi,1,0,0,0,2025-09-02 17:00:00,0.008333333333333333,0,70,Critical
T00026104,A000309,C00214,B018,2025-09-02 17:24:00,Debit,88815.06,INR,Mobile Banking,Transfer,Delhi,D00214-4,Success,20.0,12.0,Yes,1,0,0,0,1,2025-09-02 17:12:00,12.0,1,Delhi,1,0,0,0,2025-09-02 17:12:00,0.008333333333333333,0,70,Critical
T00026105,A000309,C00214,B018,2025-09-02 17:36:00,Debit,42150.55,INR,Mobile Banking,Transfer,Delhi,D00214-5,Success,20.0,12.0,Yes,1,0,0,0,1,2025-09-02 17:24:00,12.0,1,Delhi,1,0,0,0,2025-09-02 17:24:00,0.008333333333333333,0,70,Critical
T00011982,A000324,C00224,B024,2026-01-16 00:15:36,Debit,24043.15,INR,Mobile Banking,Electronics,Mumbai,D00224-1,Success,9.02,6.74,No,1,0,0,0,1,2025-12-13 16:00:33,48015.05,1,Mumbai,0,0,1,0,2025-12-13 16:00:33,33.343784722222225,1,40,High
T00026121,A000360,C00251,B002,2026-01-15 14:15:00,Debit,31945.4,INR,Net Banking,Transfer,Mumbai,D00251-1,Failed,0.0,10.0,No,1,0,0,1,2,,,1,,0,1,1,1,,,0,45,High
T00026122,A000360,C00251,B002,2026-01-15 14:18:00,Debit,69614.24,INR,Net Banking,Transfer,Mumbai,D00251-1,Failed,0.0,10.0,No,1,1,0,1,3,2026-01-15 14:15:00,3.0,1,Mumbai,0,1,1,1,2026-01-15 14:15:00,0.0020833333333333333,0,60,High
T00026123,A000360,C00251,B002,2026-01-15 14:21:00,Debit,22192.52,INR,Net Banking,Transfer,Mumbai,D00251-1,Failed,0.0,10.0,No,1,1,0,1,3,2026-01-15 14:18:00,3.0,1,Mumbai,0,1,1,1,2026-01-15 14:18:00,0.0020833333333333333,0,60,High
